r,r,r,r,l,i,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,a,i,r,e,e,a,b,r,n,n,a,b,r,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,i,l,e,e,a,b
1010,1189.2,1351.7,1529.9,1718.7,1854.2,1985.4,2112.6,2236.2,2308.2,2477,2650,2787.8,2920.1,3057.4,3128.9,3267.7,3441.5,3515.7,3637,3708.2,3863.1,3953,4065.8,4203.6,4329.4,4402.7,4539.3,4720.2,4861.7,4993.2,5127.6,5198.9,5322.4,5500.7,5669.2,5808.5,5931.9,6005.8,6147.5,6320.3,6456.3,6603.4,6725.1,6821.3,6936.4,7071.6,7193.9,7266.6,7403.7,7581.9,7721.6,7859.2,7930.7,8097.7,8280.8,8411.9,8531.7,8667.4,8793.2,8866.1,9027,9199.8,9335.6,9470.7,9606,9678.9,9812.1,9979.7,10071,10190,10263,10428,10518,10636,10774,10913,11043,11116,11286,11474,11626,11755,11888,11960,12105,12281,12447,12586,12708,12783,12978,13154,13291,13430,13575,13648,13806,13981,14058,14189,14263,14513,14612,14725,14860,14993,15067,15348,15531,15708,15865,16014,16151,16275,16350
1065.6,1244.7,1405.4,1585.1,1776.9,1909.5,2077.1,2202.9,2290.2,2354.6,2543.3,2721.3,2855.8,2990.6,3105.2,3176.4,3332,3471.1,3553.7,3689.6,3752.5,3902.8,4006.8,4165.3,4302.7,4382.7,4450.4,4622.2,4786.9,4927.7,5060.9,5180.9,5250.4,5419.1,5558.4,5771.9,5900.1,5989.2,6051,6211.3,6385.7,6524.8,6656.5,6769.7,6876.9,7030.6,7167.3,7249,7314.1,7469.3,7649,7791.5,7910.5,7976.5,8148.5,8323.3,8466.2,8630.1,8764.3,8847.8,8912.9,9092.2,9273,9409.2,9541.6,9658.8,9729,9880.7,10012,10106,10242,10309,10465,10567,10743,10870,11022,11098,11168,11360,11545,11697,11823,11939,12011,12171,12336,12550,12682,12765,12834,13050,13224,13362,13498,13628,13702,13868,14017,14087,14239,14312,14555,14665,14826,14966,15049,15113,15423,15587,15747,15922,16116,16248,16331,16405
