r,r,i,i,l,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,l,l,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,l,i,r,e,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,n,l,e,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,l,e,e,a,b,r,n,n,n,l,e,e,a,b,r,r
1046.6,1234.2,1468.4,1664.7,1825.9,1992,2130.2,2247.2,2317,2460.1,2633,2771.2,2902.4,2972.6,3103.8,3282.1,3440.4,3574,3697.1,3769.3,3927,3961.7,4088.5,4233,4359.5,4484.1,4562.8,4700.3,4873.6,5020.5,5159.7,5284.4,5354.9,5488.1,5668.7,5802.6,5931.5,6060.9,6133.8,6280.6,6455.2,6616.8,6758.5,6889.3,7013.4,7137.6,7215.4,7376.6,7559.7,7722.2,7848.3,7968.5,8111,8241.4,8365.9,8440.7,8597,8771.5,8908.6,9041.3,9164.5,9243.1,9394.2,9488.2,9602.8,9744.3,9872.8,9946.9,10087,10267,10410,10553,10626,10800,10976,11113,11280,11453,11589,11723,11850,11927,12061,12237,12373,12511,12654,12732,12888,13092,13250,13446,13575,13732,13852,13994,14121,14194,14333,14522,14659,14797,14942,15015,15167,15262,15379,15522,15652,15731,15891,16083,16230,16374,16448,16615,16794,16975,17138,17260,17406,17533,17610,17782,17979,18131,18266,18398,18474,18842,19010,19152,19282,19358,19533,19731,19871,20002,20184,20363,20501,20628,20706,20927,21156
1087.6,1285.3,1506.2,1696.5,1884.2,2082,2210.2,2300.3,2370.2,2521.5,2700.7,2838.2,2955.8,3023.5,3170,3334.6,3539.3,3673.3,3749.3,3815.8,3952.7,3984.3,4157,4307.1,4427.1,4544.1,4611.7,4775,4923.3,5122.8,5256.5,5339.2,5405.9,5548.4,5734.3,5869.2,5999.6,6110.6,6185.8,6356.3,6513.3,6658.8,6810.7,6983.1,7117.8,7196.2,7267.1,7444.2,7615,7756.9,7901.7,8076.9,8206.5,8341.3,8422.8,8488.2,8672.2,8847,8976.8,9108.9,9225.2,9295,9437.2,9542.4,9713.2,9849.2,9926.3,9999.9,10153,10335,10478,10609,10678,10872,11046,11185,11342,11555,11689,11821,11907,11974,12133,12308,12451,12584,12709,12783,12961,13151,13302,13488,13631,13788,13961,14083,14176,14248,14408,14595,14730,14871,14997,15066,15214,15319,15483,15621,15714,15783,15963,16153,16306,16429,16500,16686,16850,17025,17195,17371,17511,17593,17665,17852,18053,18208,18338,18454,18526,18902,19115,19256,19335,19406,19608,19804,19945,20080,20240,20469,20606,20689,20760,21009,21241
