r,l,i,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n
1505.2,1656.3,1834.1,1990.5,2159.5,2320.7,2446.8,2569.9,2707,2833.1,2906.8,3043.1,3210.6,3350.6,3480.3,3614.6,3687.5,3859.3,4037,4167.9,4299.6,4434,4508.7,4643.1,4809.2,4879.6,5007.7,5081.1,5320.3,5422.2,5537.9,5678.4,5806.1,5880.9,6045.6,6230.5
1541.7,1712.2,1871.5,2039.7,2222.3,2367,2505.9,2673.2,2807.9,2888,2957.9,3112.5,3281.1,3424.2,3550,3668.9,3744.5,3932.1,4110.8,4242.8,4370.7,4487.5,4554.1,4708.5,4848.4,4921.1,5062.2,5131.1,5366.8,5479.7,5646.4,5777.2,5860.5,5927.9,6120.4,6301
