r,r,r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,i,l,i,v,x,a,b,i,r,e,e,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,l,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,r,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,l,i,i,i,r,e,e,a,b,i,l,e,e,a,b,r
1178.2,1390.9,1583.2,1788.6,1973.8,2171.3,2341.8,2485.3,2627.8,2743.7,2814.3,2969.7,3139.6,3288.2,3428.1,3553.8,3623.8,3818.6,3906.4,4021.6,4157.8,4283.4,4356.2,4504.4,4715.9,4875.2,5036.6,5206.6,5277,5400.4,5476.6,5646.9,5733.9,5848.4,5982.3,6104.9,6178.2,6326.3,6498.8,6672,6805.9,6928.5,7000.6,7173.8,7344.8,7494.8,7638.9,7767.5,7840.1,8001.8,8177.6,8238.3,8362.1,8432.8,8596.9,8683.8,8797.1,8936.8,9064.1,9137,9288.3,9466.1,9629,9828.5,9999.8,10166,10290,10427,10546,10624,10770,10950,11088,11219,11348,11420,11592,11686,11802,11944,12070,12146,12318,12495,12654,12788,12914,12990,13170,13351,13505,13635,13771,13844,13994,14271,14435,14607,14747,14882,15018,15143,15217,15427,15614,15754,15898,16031,16103,16321,16501,16665,16843,16999,17184,17358,17479,17600,17743,17868,17944,18378,18537,18703,18842,18967,19043,19183
1234.4,1448.5,1645.2,1845.3,2030,2222.4,2395.4,2589.4,2717.8,2791.2,2861.5,3038.8,3207.5,3359.3,3490.2,3605,3674.8,3860,3960.2,4128.6,4258.9,4336.4,4403.8,4566.2,4758.2,4937,5082.9,5246,5320.2,5459.2,5523.7,5685.6,5788.6,5955.7,6079.6,6161,6228.3,6394.8,6554.9,6773.9,6902.4,6979.8,7046.9,7241.3,7414.7,7565.8,7709.3,7816.5,7892.5,8074.9,8207.6,8277.7,8412,8479.7,8634.4,8736.5,8907.6,9039,9116.9,9185.6,9349.1,9521.3,9689.6,9867.6,10046,10222,10392,10529,10603,10675,10839,11020,11157,11289,11402,11472,11636,11740,11911,12043,12122,12195,12385,12562,12757,12893,12971,13044,13239,13418,13575,13709,13821,13896,14067,14316,14495,14651,14805,14988,15121,15201,15267,15503,15681,15824,15969,16085,16155,16391,16554,16716,16899,17050,17226,17401,17536,17710,17844,17920,17991,18418,18598,18808,18946,19022,19089,19257
