l,r,r,r,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,l,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,i,r,e,e,a,b
1140.7,1317.4,1517.8,1697.7,1869.8,1990.1,2129,2254.7,2325.6,2496,2688.8,2829.6,2965.8,3099.1,3170.7,3336.2,3431,3544.6,3683.4,3808.6,3880.4,4013.2,4197.8,4348,4482.8,4554.4,4703.6,4800.7,4914.2,5051.5,5174.2,5250.7,5386.8,5564,5720.2,5859.2,5984,6056.4,6210.2,6388.1,6527.7,6654.6,6733,6894.6,6989.1,7104.3,7242.5,7372.5,7445,7587.2,7778.1,7909.1,8047.2,8173.7,8312.8,8384.5,8528.3,8694,8761.5,8890.1,8968.4,9122.8,9212.9,9327.5,9467.8,9591.5,9664.2,9813.8,9982.6,10140,10312,10433,10573,10698,10769
1193.3,1373.2,1569.7,1758.1,1922.9,2099.4,2229.4,2306.4,2378,2566.7,2755.4,2895.8,3035.2,3153.8,3225.2,3383.5,3485.8,3649.7,3781.6,3863.1,3929.1,4084.4,4268.7,4417,4536.4,4610.2,4760.4,4852.8,5023.2,5149.3,5234.1,5298.1,5455.1,5621.8,5829.2,5958.6,6041.9,6111.4,6285.3,6460.8,6601.1,6716.9,6782.7,6949.8,7046.3,7209.6,7348.3,7428.9,7500.4,7658.1,7842.3,7978.3,8120.1,8246.3,8366.3,8440.8,8605.8,8733.4,8804.7,8950.4,9023.7,9170.7,9269.2,9432.2,9566.5,9648,9715.2,9884.9,10045,10190,10370,10538,10672,10754,10827
