r,i,r,r,l,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,v,x,a,b,i,i,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,r,r,e,e,a,b,r,n,n,a,b,i,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,e,a,b,r,n
1554,1805.2,1976.3,2145.2,2305,2440.2,2560.6,2694.4,2808.9,2880.4,3013.6,3188,3331.9,3461.3,3531.5,3662.3,3748.8,3862.4,4007.6,4121,4191.9,4347.7,4520.6,4682.3,4815,4939.6,5015.2,5158.8,5334.5,5397,5520.7,5592.6,5727.7,5822,5937.3,6078.2,6204.8,6275.5,6426.2,6613.6,6747.5,6888.1,6959.7,7099.4,7264.2,7434.5,7571.8,7697.7,7769.9,7952.7,8039.2,8152.6,8294.4,8416.9,8490.3,8645.4,8821.8,8964.7,9096,9167.5,9310.3,9489.1,9658.6,9798.8,9927.3,9999.9,10159,10344,10533,10664,10787,10924,11048,11123,11301,11491,11641,11798,11976,12093,12232,12357,12432,12592,12781,12933,13097,13169,13547,13718,13873,13999,14132,14270,14398,14472,14645,14815,14955,15098,15237,15310,15522,15614,15732,15874,16008,16134,16208,16358,16558
1604.3,1858.6,2033.4,2194.7,2362.8,2488.8,2648.7,2780.2,2861.6,2932.7,3081.4,3254.8,3401.6,3514.8,3585.2,3696.9,3795.7,3954.1,4096.7,4173.9,4240.2,4411.6,4588.4,4780.1,4918,5001,5066.4,5217.6,5365.7,5440.1,5572.6,5642.8,5774.3,5873.6,6043.6,6165.6,6257.2,6324.5,6490.6,6681.8,6815.9,6939.7,7011.6,7164.3,7328.6,7539.5,7669.3,7752.2,7818.1,7989.4,8089.3,8255.7,8387.4,8474.4,8538.4,8710.8,8888.5,9036.1,9149.4,9219.4,9377.4,9550.2,9764.2,9902.1,9981.6,10053,10232,10405,10583,10722,10889,11020,11105,11174,11377,11557,11711,11859,12031,12198,12335,12412,12482,12657,12851,13004,13148,13221,13592,13757,13918,14054,14238,14368,14454,14521,14710,14888,15029,15168,15292,15362,15561,15667,15835,15976,16109,16190,16252,16421,16628
