r,i,l,i,l,r,e,e,a,b,r,n,n,a,b,r,n,n,n,r,e,e,a,b,r,n,n,e,e,a,b,r,l,i,i,i,i,i,i,l,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,e,r,e,e,a,b
1059.7,1239.4,1392.5,1572.5,1732.7,1872,1987.3,2124.9,2238.3,2306.8,2493.9,2677.3,2821.8,2956.4,3025.3,3166.8,3349.7,3481.6,3623.8,3759.8,3885.2,4018,4140.3,4210,4372.7,4550.5,4704.8,4851.5,4980.2,5098.6,5170.7,5330.8,5535.3,5720.2,5882.2,6048.3,6220.8,6388.8,6538.2,6688.3,6824.9,6942.5,7075,7194.6,7267.8,7418.9,7592.4,7738.5,7878.7,7948.6,8090.7,8276.5,8343.7,8462.3,8536.3,8720.9,8806.6,8917.5,9050.9,9175.7,9245.9,9399.9,9588.1,9722.4,9864.5,10004,10073,10225,10316,10427,10561,10683,10755
1105.8,1277,1451.3,1610.1,1789.9,1925.3,2080.9,2206.5,2285.9,2353.7,2555.8,2746.2,2891.1,3003.9,3076.6,3233.9,3421,3552.7,3693.6,3819.9,3988.7,4119.4,4194.6,4259.2,4437.1,4622.5,4777.5,4955.5,5081.3,5151.5,5222.1,5398.3,5590.7,5753.5,5920.6,6079.5,6258.6,6433.2,6586.5,6746.8,6879.6,7035.5,7171.7,7249.7,7315.5,7481.6,7663.5,7811.8,7927,7997.7,8155.5,8310.5,8382.9,8515.7,8584.7,8758.3,8858.7,9013.8,9139.4,9229.2,9292.7,9467.7,9656.1,9795.6,9936.2,10051,10121,10253,10369,10533,10652,10737,10803
