r,i,l,l,r,e,a,b,r,n,e,e,a,b,r,r,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b
1147.3,1355.8,1518.5,1740.2,1870.5,1997.6,2123.1,2191.2,2347.2,2529.5,2696.4,2832.2,2954.8,3024.9,3180.7,3401.4,3574.7,3726.9,3848.8,3984.9,4107.2,4178.9,4377.2,4573.2,4732.8,4877.3,4992.4,5064,5213.5,5401.5,5566.1,5707.7,5778.9,5921.3,6097.2,6161.3,6286.7,6356.1,6635.1,6722.3,6835.6,6978,7101.7,7173.5
1197.2,1393.1,1573,1769.5,1925.1,2080.6,2168.7,2240.3,2416.3,2601,2795.9,2928.6,3003.8,3070.8,3247,3456.4,3616.9,3780.1,3944.6,4071.8,4157,4229.8,4443.4,4640.2,4838.4,4969.2,5043.5,5113.6,5275.6,5469.3,5630.8,5756.3,5828.3,5992.4,6123.8,6195.6,6334,6409,6674.1,6775.6,6945.2,7071.5,7152,7221.9
