r,r,r,i,l,e,e,a,b,i,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,l,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,i,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b
1059,1254,1492.4,1662.1,1815.5,1996.7,2129.9,2243.6,2312.3,2827.8,3006.5,3167.2,3341.5,3477.4,3597.8,3733,3859.5,3930,4112,4287.1,4426.6,4572.8,4704.5,4776.6,4935,5128.9,5193.2,5323.2,5392.5,5568.1,5652.7,5766.4,5900.1,6021.8,6097.5,6252.5,6425.2,6571.4,6712.6,6788,6943.2,7116.2,7277.6,7471.4,7609.1,7738.2,7813.6,7952,8130,8267.2,8386.6,8462.5,8602,8772.2,8944.9,9103.1,9223.3,9361,9487.6,9559.6,9860.4,10043,10217,10366,10486,10626,10750,10823,10977,11162,11304,11445,11578,11652,11835,11922,12038,12180,12304,12379
1111,1310.1,1528.5,1702.2,1871.7,2085.4,2212.6,2292.1,2361.4,2864.2,3038,3230.3,3375.2,3534,3699.6,3833.4,3909.2,3979.4,4184,4354.3,4492.2,4640.2,4752.8,4825.3,5011.3,5155.4,5230.4,5369.3,5442.5,5604.6,5706.7,5866.6,6000.6,6077.2,6145.6,6321.6,6493.2,6638,6767.2,6837.4,7010.3,7167.7,7339.9,7579,7710.1,7791.5,7865.2,8022.6,8196.7,8333.7,8444.3,8511.9,8676.3,8829.3,8983.2,9160.9,9330.2,9461.9,9539.3,9608.6,9908.8,10082,10252,10418,10582,10720,10802,10875,11039,11228,11372,11516,11631,11701,11874,11975,12141,12271,12356,12427
