r,r,r,r,r,r,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,l,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,i,i,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,n,a,b,r
1382.2,1568.2,1780.9,1964.5,2150.3,2330.3,2507.8,2657.5,2771.9,2910.2,3030.4,3108.2,3252.4,3422.9,3559.8,3704.3,3774.6,3915.7,4096.3,4256.2,4397.1,4516.6,4656.6,4775.5,4852.3,4991.8,5151.8,5320,5536.2,5675.2,5796.5,5935.9,6051,6129.5,6287.5,6462.5,6593,6720.6,6798.6,6963.6,7054.1,7175.5,7313.6,7436.6,7512.8,7656.8,7834.7,7968.9,8098.1,8170.9,8330.9,8424.8,8543.3,8680.8,8804.4,8883.4,9020.4,9188.1,9324.6,9460.9,9584.6,9663.2,9812.5,9987.7,10160,10301,10424,10562,10685,10763,10942,11111,11252,11391,11463,11625,11719,11839,11978,12104,12178,12337,12519,12676,12818,12945,13081,13153,13317
1422.4,1624.1,1845.5,2025.5,2209.1,2391.3,2550.6,2709.9,2880.4,3011.8,3091.7,3157.8,3323.9,3495.3,3634.1,3757.7,3825.2,3986.5,4155.6,4303.9,4453.2,4615.2,4746.7,4832.6,4907.9,5064,5226.6,5384.2,5587.7,5733.6,5903.1,6028.8,6114.7,6184.3,6363.4,6536.8,6670.7,6781.4,6849.9,7013.9,7115.6,7285.8,7416.3,7497.7,7562.2,7725.3,7907.8,8042.3,8154.7,8225.7,8383.5,8483.8,8651.4,8776.4,8867,8936.4,9092.6,9263.6,9400.1,9533,9646.7,9717.8,9884.2,10049,10210,10358,10531,10664,10745,10817,11022,11189,11324,11445,11521,11677,11778,11944,12080,12164,12235,12416,12594,12751,12894,13022,13138,13207,13387
