i,r,r,r,r,r,r,l,l,l,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,r,v,x,a,b,i,r,e,e,a,b,r
1213.7,1401.8,1605.5,1785.8,1976.5,2166.2,2349.2,2532.9,2696.2,2881,3043,3228.6,3359.1,3491.2,3623,3747.7,3819.8,4022,4202.7,4345.8,4477.6,4602,4678.9,4862.1,4949.5,5062.8,5196.8,5320.2,5396.2,5551.1,5781.5,5995.9,6073.6,6205.7,6276.3,6493.2,6581.3,6696.7,6834.8,6959,7034.1,7207
1253.5,1459,1659,1842.2,2038.9,2225.2,2406.4,2600.3,2765.4,2946.5,3093,3272.9,3416.5,3583.4,3724.7,3801.9,3866.2,4090.6,4271,4418.2,4545.9,4657.2,4731.3,4898.4,5002.4,5165.3,5296.9,5376.7,5443.8,5622.2,5855.4,6043.9,6114.2,6259.3,6326,6531.2,6636.7,6802.2,6935,7017.1,7084.5,7280.2
