i,i,l,e,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,r,r,r,e,e,a,b
1448,1663.8,1820.8,1972.6,2108.9,2287.2,2424.8,2550.6,2621.5,2793.3,2880.2,2994.1,3131.4,3255.8,3327.1,3482.2,3651.7,3787.4,3915.5,3986.3,4125.6,4292.2,4442.9,4577.8,4711.6,4782,4919.1,5088.8,5153.9,5276.6,5348,5523.8,5615.1,5725.4,5860.5,5986,6058.9,6215.7,6391.3,6537.1,6689.2,6891.6,7065,7193.8,7329.3,7453.5,7527
1489.8,1703,1880.6,2036.3,2179.9,2354.4,2491.3,2600.8,2675,2835.2,2940.7,3096.3,3226.4,3310.9,3377.8,3546.6,3718.6,3858.9,3968,4038.4,4192.3,4364.3,4515.3,4644.7,4763.1,4836.1,4991.5,5119.8,5194,5323.7,5396.1,5559.2,5661,5828.1,5961.2,6034.8,6104.8,6285.4,6460.4,6606,6751,6956.3,7129.3,7294.4,7424.4,7509.5,7576.1
