i,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b
1249.7,1396.9,1585.7,1740.5,1875.9,1994.9,2127.9,2245.1,2322.1,2467.4,2646.6,2796.8,2940.9,3012.1,3174.2,3358.4,3561.8,3751.8,3896.9,4013.3,4150.1,4272.4,4346.7
1289.2,1459.3,1621,1784.4,1933.6,2097.5,2220,2304.7,2373.5,2531.9,2718.9,2866.3,2995.8,3060.8,3242.2,3414.9,3599.1,3795.9,3953.3,4119.8,4243.5,4332.2,4399.8
