l,i,r,r,r,r,r,i,l,i,i,r,l,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,l,e,e,a,b,r
1968.8,2234.8,2388.6,2599.4,2782,2964.6,3149.2,3317.2,3463.2,3644.4,3797.8,3929.1,4110.7,4238.2,4408.8,4542,4658.1,4729.3,4883.6,5053,5198.2,5330,5401.4,5578.2,5662.8,5781.8,5917.1,6039.8,6115.2,6248.3,6430.7,6569.5,6703.2,6773.4,6929.4,7106,7241,7368.2,7445.1,7610.4,7789,7967,8106.4,8233.6,8304.4,8465.1
2022.4,2280,2449.1,2661,2846.2,3033.8,3209.5,3371.1,3529.3,3693.4,3846.1,3997.3,4179.6,4299.3,4500.5,4632.9,4719.4,4784.8,4963.3,5126.5,5270.3,5386.6,5462.6,5624.3,5726.9,5885.1,6018.5,6097,6171.3,6332.8,6502.4,6640.5,6756.8,6835.8,7008.5,7171.1,7314.6,7429.6,7505.7,7687.8,7852.4,8073,8205.3,8291,8362.3,8542.7
