i,l,i,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,i,i,i,i,r,e,e,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b
1201.9,1368.5,1542.5,1729.6,1870.1,1990.2,2122.6,2245.7,2317.2,2477.9,2664.7,2815.4,2955.1,3083.4,3154.9,3295.7,3471.9,3532.7,3661.3,3731,3912.6,3998.9,4115.1,4262.2,4383.8,4453.2,4636.1,4812.9,4961.1,5097.8,5236.1,5368.7,5440.5,5578.3,5745,5806.5,5931.3,6002.8,6163.1,6249.6,6366.8,6502.2,6625.2,6700.7,6844.4,7018.8,7154.5,7289.3,7429.2,7500.2,7639.4,7809.1,7872.6,7998.4,8068.6,8251.8,8339.7,8455.6,8602.1,8721.2,8793.8,8938.8,9123.5,9188.6,9316,9387.6,9594.2,9684.9,9801.8,9939.7,10065,10142,10344,10521,10666,10813,10946,11019,11162,11342,11409,11533,11611,11810,11898,12016,12157,12282,12355,12502,12727,12875,13010,13136,13216,13390,13561,13745,13902,14041,14163,14301,14426,14501,15013,15171,15344,15502,15629,15750,15894,16019,16153,16278,16354,16665,16843,16982,17127,17261,17334,17499,17695,17765,17892,17965,18200,18289,18409,18545,18670,18747
1244.4,1433.7,1580.2,1791.6,1927.6,2093.5,2220.8,2299.3,2369.4,2551.6,2735.3,2884.8,3022.2,3136.5,3208.8,3362.8,3499.1,3570.5,3711.9,3779.5,3951.4,4054,4218,4358.3,4432.1,4505.5,4709.2,4877.7,5029.8,5162,5306.1,5416.8,5496.1,5649.1,5778.8,5851,5984.4,6048.2,6200.5,6304.6,6470.1,6605.3,6680.9,6747,6914.2,7089.8,7226.9,7361.6,7479.9,7550.8,7712.7,7841.2,7909.3,8050.7,8120.5,8297.2,8394,8560.6,8695.8,8772.4,8837.8,9008,9150.8,9225,9370.3,9440.2,9637.8,9739.9,9905.2,10042,10123,10193,10418,10591,10738,10880,11000,11068,11236,11372,11452,11592,11660,11852,11955,12123,12258,12335,12411,12573,12798,12948,13080,13193,13269,13465,13621,13786,13950,14096,14271,14398,14478,14553,15061,15209,15384,15544,15683,15851,15984,16123,16256,16330,16405,16742,16908,17053,17197,17314,17386,17564,17731,17805,17947,18019,18239,18345,18507,18647,18727,18795
