l,i,l,l,l,r,r,r,r,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,n,a,b,i,r,e,e,a,b,r,l,e,e,a,b,r,n,e,e,a,b,r,n,l,l,i,i,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,i,l,l,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,l,l,i,i,l,r,r,e,e,a,b,r,n,n,n,a,b,r,l,b,r,a,b,r,l,i,r,e,e,a,b
1308.1,1413.8,1629.7,1802.4,1979.8,2155.9,2351.5,2534.8,2706.1,2834.9,2966.8,3039.8,3177.3,3355.8,3489.2,3614,3692.4,3830.5,3999.5,4153.4,4287.6,4405.2,4483.7,4631.7,4801.2,4931.5,5062.3,5197,5270.1,5404.1,5588.3,5661.8,5780.6,5858.2,5983.1,6074.4,6193.9,6327.8,6445.9,6523.6,6643.5,6818.5,6964.3,7100.2,7218.6,7296.2,7434.2,7619.7,7768.7,7905,8026,8104.8,8259.4,8443.2,8592.2,8753.4,8956.2,9209.6,9358.4,9470.6,9602.8,9737.9,9860.2,9933.9,10067,10230,10356,10483,10554,10686,10847,10916,11039,11112,11240,11330,11446,11579,11698,11777,11919,12577,12720,12868,12979,13166,13238,13358,13434,13582,13671,13786,13923,14044,14123,14242,14421,14553,14686,14814,14938,15017,15139,15313,15385,15513,15591,15717,15808,15923,16058,16181,16259,17156,17302,17490,17655,17803,17931,18078,18207,18344,18468,18545,18678,18866,19002,19128,19268,19341,19470,19659,19813,19893,20013,20092,20226,20403,20573,20708,20829,20968,21094,21172
1337.8,1436.2,1661.2,1866,2049.3,2215.7,2415.9,2596.4,2771.1,2945.7,3023.8,3095.8,3254.5,3427.4,3562.5,3677.3,3755.8,3915.9,4062.2,4259.3,4381.3,4470.9,4542.2,4712.6,4870.2,5001.5,5141.2,5255,5334.2,5490.7,5636.4,5706.6,5846.1,5921.4,6037.5,6142,6302.5,6427.7,6509.3,6580.8,6720.2,6882.3,7074,7203.8,7283.9,7354.8,7512.9,7693.2,7877.8,8012,8094.1,8165,8348.2,8518.5,8664.8,8819.7,9029.4,9266.7,9406.8,9533.3,9708,9838.6,9916.3,9987.9,10137,10305,10431,10539,10618,10763,10892,10965,11094,11167,11288,11387,11549,11680,11758,11834,12002,12624,12783,12933,13072,13208,13280,13413,13487,13624,13731,13897,14019,14102,14176,14317,14492,14630,14761,14888,15000,15074,15222,15354,15430,15576,15647,15763,15861,16027,16160,16240,16309,17222,17370,17540,17698,17867,17994,18135,18315,18448,18528,18606,18757,18943,19080,19207,19325,19404,19549,19720,19863,19942,20082,20154,20307,20471,20624,20767,20937,21072,21160,21234
