l,i,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,l,i,i,r,r,r,e,e,a,b,r,r,l,i,l,r,e,e,a,b
1329.9,1534.3,1688.6,1857.3,1979.2,2104.8,2239.7,2364.7,2436.9,2580.2,2752,2884.9,3014.8,3134.7,3208.2,3349,3514.2,3651.9,3784.2,3909.5,3981.7,4102,4276.4,4424.9,4563.2,4635.5,4774.8,4941.4,5100.2,5264.7,5428.2,5570.8,5742.6,5898.8,6022.9,6159,6281,6355.1,6510.6,6554.8,6677.6,6849.2,7018.9,7146.5,7268.3,7401.6,7524.5,7599.3
1385.5,1572.8,1730.8,1896.7,2036.8,2207.5,2333.7,2422.4,2486.8,2651.8,2824.5,2955.2,3086.3,3189.8,3261.8,3414.5,3563.1,3755.1,3890.2,3961.3,4030.3,4175.1,4346.4,4496,4617.4,4685.3,4840,4998.7,5158.5,5313.7,5468.6,5630.2,5799.5,5951.7,6124.8,6260.7,6332.2,6405.2,6553.1,6579.7,6740.7,6896.3,7079.9,7203.2,7370.3,7490.3,7577.7,7644.2
