l,l,l,l,r,i,i,r,r,l,i,i,r,l,l,r,e,e,a,b,r,i,i,i,l,i,r,e,e,a,b,i,l,l,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,e,e,a,b,r,n,n,n,a,b,r,l,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,n,n,a,b,r,l,i,i,i,i,i,r,e,e,a,b
1601.3,1797.6,1977.7,2187.4,2372.7,2707.9,2928.9,3100,3294.4,3510.9,3690.6,3899,4080.9,4247,4400.8,4555.9,4743.4,4884.7,5010.6,5081.2,5229.7,5449,5633,5827,5984,6165.8,6310.3,6432.2,6571.9,6695.7,6767.4,7657.9,7812.7,7992,8131.1,8250.3,8388.8,8518.2,8591.5,8744.6,8912.8,9052.1,9183.3,9311.8,9383.5,9520.7,9689,9826.3,9962.7,10088,10160,10302,10466,10620,10766,10902,11029,11100,11246,11418,11560,11690,11814,11886,12029,12201,12314,12485,12622,12756,12829,12957,13144,13298,13431,13556,13627,13772,13941,14083,14216,14287,14469,14557,14672,14816,14933,15005,15152,15321,15463,15606,15677,15838,16013,16174,16375,16531,16711,16920,17079,17208,17344,17468,17540
1645.5,1849.4,2031.2,2247.5,2430.9,2747.2,2964.7,3154.9,3351.1,3546.7,3738.5,3936.2,4140.6,4308.8,4465.4,4613.4,4853.3,4983.1,5067.7,5137.5,5302.1,5493.1,5674.7,5861.9,6053.8,6213.8,6364.7,6533.3,6667.9,6748.2,6814.8,7700.2,7870.2,8031.2,8185.3,8355.7,8491.9,8569.8,8643.3,8811.5,8983.8,9122.1,9250.4,9362.8,9438.6,9589.2,9743.7,9927.8,10062,10144,10211,10367,10537,10689,10874,11002,11083,11148,11315,11490,11631,11762,11866,11938,12099,12253,12384,12553,12694,12809,12877,13022,13181,13402,13534,13612,13675,13837,14017,14159,14269,14340,14506,14608,14778,14905,14986,15050,15218,15393,15534,15657,15726,15906,16057,16216,16409,16566,16750,16960,17135,17310,17447,17524,17588
