i,l,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,x,a,b,i,i,l,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r
1177.3,1334.9,1538.8,1710.9,1830.9,1955.1,2095,2222.9,2297,2477.9,2665.5,2808.3,2950,3084.4,3156.8,3303.7,3394.7,3508.7,3647.4,3772,3847.7,4008,4184,4337.2,4482.8,4618.8,4691.7,4841.1,5091.2,5219.1,5291.8,5578,5750.5,5924.1,6093.6,6228.7,6354,6427.6,6608.4,6805.6,6950.3,7085.6,7223.7,7296.6,7476,7690.9,7853.9,8019.1,8142.7,8285.9,8413.2,8486.3,8640.9
1215.7,1393.8,1575,1750.7,1885.1,2059,2190.3,2271.2,2345.1,2551,2731.2,2874.2,3018.4,3133.2,3205.7,3339.3,3442.8,3617.4,3734,3821.5,3891,4073.1,4253.9,4406.7,4554.4,4669.9,4741.1,4908,5129.9,5271.2,5341.8,5626.7,5792.7,5978.4,6196.8,6330,6407.2,6475.5,6678,6874.2,7021.6,7153.1,7270.3,7343.8,7550.6,7717.9,7887.9,8073.5,8251.9,8387.9,8464.2,8532.9,8702.4
