r,i,l,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,v,x,r,r,e,e,a,b,r,n,n,a,b
1093.9,1278.6,1449.5,1752.7,1873.1,1984.6,2128,2245.3,2316,2455.8,2623.9,2759,2892.2,2960.8,3132.1,3225.4,3339.7,3481.2,3604.8,3675.9,3813.2,3984.5,4146.5,4281.3,4394.3,4466,4608.7,4783.8,4919.8,5055.2,5125.4,5306.2,5394.5,5506,5646.9,5769.1,5841.5,6016.1,6195.1,6343,6485.7,6621.8,6692.8,6826.3,7005.8,7067.4,7190.2,7259.2,7440.4,7530.6,7645.9,7783.6,7909.4,7982.5,8138.2,8316.6,8467.5,8605.4,8677.7,8837.3,8932.3,9046.9,9183.8,9307.8,9382.2,9529.3,9698.2,9850.4,9997.3,10068,10220,10382,10457,10576,10651,10864,10952,11069,11206,11332,11406,11543,11744,11885,12020,12162,12236,12377,12569,12778,12936,13027,13151,13291,13418,13491,13698,13874,14012,14154,14283,14355,14508,14704,14879,15017,15148,15222,15390,15573,15722,15866,16005,16078,16237,16435,16507,16698,16877,17004,17142,17272,17345,17534,17716,17865,18019,18090
1134.7,1314.9,1484.2,1783.8,1916.8,2081.5,2216.8,2291.2,2354.6,2522.7,2695,2828,2941,3005.5,3161.8,3273.8,3443.1,3578.2,3656.8,3722.7,3878.6,4050.5,4240.4,4367,4446.8,4513.2,4672.3,4850.2,4992.7,5104.3,5172,5337,5439.2,5610.4,5745.2,5820.9,5885.2,6087.1,6266.5,6414.2,6553.9,6673.2,6740.7,6892.5,7029,7106.4,7238.5,7304.3,7472.7,7583.7,7752.3,7885.1,7960.4,8029.5,8198.8,8388.1,8538.1,8655.6,8725.2,8877.2,8980,9149.3,9283.8,9360.3,9426,9592.7,9768.5,9919.6,10046,10120,10285,10430,10496,10631,10703,10899,11005,11169,11299,11386,11446,11610,11816,11955,12090,12213,12289,12446,12624,12814,12969,13077,13251,13389,13470,13539,13768,13942,14083,14224,14334,14402,14574,14760,14987,15119,15203,15269,15455,15641,15793,15938,16055,16128,16313,16469,16549,16763,16935,17112,17243,17324,17388,17604,17789,17941,18070,18140
