r,r,r,r,l,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,l,i,l,e,e,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b
1023.2,1207.4,1386.8,1565.5,1735,1872.5,1997.1,2138.9,2251.2,2322.4,2480.3,2657.1,2794,2935.1,3064.9,3134.5,3305.7,3391.2,3505.9,3640.3,3764.1,3833.8,4014.2,4190.2,4377.2,4603.8,4773.2,4938.8,5082.8,5194.8,5265.3,5444.6,5532,5644.8,5781.8,5909,5978.5,6116.3,6300.3,6439.5,6578.8,6725.2,6796.3,6960.5,7050.1,7165.3,7304.3,7430.2,7502.4,7645.5,7832.6,7974.8,8108.7,8234.8,8306.4,8478.2,8565.6,8680.2,8815,8942,9014.5,9178,9354.6,9536.6,9670.5,9794,9867.2,10027,10214,10361,10504,10575,10729,10928,11114,11248,11369,11445
1076.2,1267.6,1443.1,1620.6,1791.6,1923.1,2094.5,2228.7,2299.2,2366.4,2545.1,2721.8,2864.2,3000.2,3114.8,3185.8,3345.1,3445.4,3609.1,3742,3817,3881.9,4086.3,4256.5,4432.4,4642.6,4833.4,5036.2,5174.4,5246.4,5319,5480.2,5582.5,5753.1,5881.7,5962.1,6025.3,6186.9,6366.2,6508.2,6650.8,6774.4,6842.5,6998.6,7102.6,7270.8,7407,7482.2,7551.9,7714.1,7902.2,8045.4,8178.5,8283.4,8356.9,8517.8,8617.1,8787.8,8914.5,8992.9,9060.9,9247.4,9412.4,9640.2,9771.5,9846.3,9915,10104,10282,10428,10555,10626,10799,10987,11220,11347,11428,11495
