l,l,l,l,l,i,r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,i,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,l,i,r,i,i,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,n,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b
1079.5,1233.9,1400.7,1597.7,1777,1994.9,2209.8,2391.1,2575.5,2746.8,2930.5,3090.9,3222.8,3349.7,3422.3,3601.3,3792.6,3935.6,4068.3,4205.3,4276.5,4419.2,4592.1,4760,4891.4,5018.2,5089.4,5264.6,5440.4,5581.4,5710.9,5783.5,5931.3,6106.1,6166.9,6288.1,6359.1,6499.3,6597.1,6711.6,6862.6,6985.4,7057.1,7191.7,7229.7,7365.5,7501.4,7630.1,7702.8,7861.8,7954.3,8075,8213.7,8337.2,8410.5,8551.4,8738.8,8878.5,9024.2,9095.8,9274.7,9456.1,9642.4,9795.3,9915.4,10053,10174,10250,10439,10623,10769,10897,10972,11140,11229,11344,11484,11613,11687,11825,12012,12202,12383,12552,12717,12903,13054,13200,13324,13458,13585,13659,13821,14007,14156,14296,14429,14502,14638,14827,14896,15014,15087,15254,15343,15459,15600,15729,15801,16034,16229,16376,16516,16654,16728,16923,16969,17113,17273,17450,17574,17698,17839,17968,18042,18265,18450,18588,18722,18869,18943,19085,19266,19330,19463,19536
1108,1265.4,1458.7,1656.6,1837,2035.4,2263.6,2445,2633.1,2803.7,2988.8,3189.8,3322.1,3400,3471.5,3672.4,3860.6,4003.6,4135.8,4256.3,4328.7,4485.5,4650.2,4860.5,4989.8,5068.5,5137.1,5338.7,5511.2,5649.4,5759.6,5837.3,6003.7,6135.6,6208.3,6339.3,6408.7,6543.3,6649.9,6817.2,6953,7033.2,7103.7,7227.6,7263.1,7430.8,7574.7,7683.7,7752.5,7913,8010.3,8177,8310.5,8388,8457.8,8624.4,8809.4,8946.2,9076.9,9145.9,9354.9,9515.4,9682.7,9848.9,10016,10148,10233,10306,10513,10689,10843,10952,11026,11177,11282,11453,11587,11669,11739,11899,12085,12262,12428,12601,12756,12946,13115,13256,13431,13558,13637,13711,13890,14074,14227,14366,14483,14551,14710,14860,14937,15069,15135,15296,15398,15564,15706,15780,15850,16109,16299,16450,16590,16707,16784,16968,17000,17177,17324,17495,17636,17801,17943,18024,18097,18338,18520,18661,18796,18921,18996,19155,19293,19371,19519,19581
