i,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,r,r,r,e,e,a,b,r,n,n,n,a,b,r,n,n,a,b
1283.3,1436.9,1613.9,1786.9,1877,1988.8,2125.5,2253.8,2328.2,2516.7,2696.4,2845.6,2979.3,3112.9,3185.1,3328,3504.3,3717.6,3911.1,4059.4,4175.3,4313.8,4442.2,4515.2,4700.4,4891.7,5040.7,5199,5348.4,5419.9,5576.3,5762.8,5919.2,6052.6,6124
1319.3,1499.3,1652.9,1821,1933,2089.5,2226.4,2300.2,2374,2575.2,2767.7,2917.7,3049.4,3164.5,3237.2,3396.6,3564,3763,3956.5,4109.5,4272.8,4419.2,4497.4,4566.2,4771,4962.5,5115.3,5272.7,5400.2,5473.7,5641.4,5838.8,5991,6106.9,6175.1
