b,r,l,i,l,i,r,e,e,a,b,r,l,i,i,i,i,r,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,n,n,n,a,b,r,l,i,l,i,r
1019.3,1159.2,1332.2,1506.5,1660,1841.7,1965.1,2085.3,2221.4,2347.7,2420.2,2570.3,2739.2,2913.3,3096.7,3261.5,3413.1,3550.5,3667.5,3802.6,3933,4004.6,4145.3,4314.8,4452.1,4584.5,4656.6,4834.3,4925.1,5039.6,5176.6,5301.4,5376.7,5515.9,5686.9,5829.2,5965.8,6097.1,6169.1,6311.2,6483.4,6663.3,6825.1,7000.6,7146.5
1066.1,1223.2,1387.8,1544.3,1721,1877.5,2019.3,2188.3,2320.5,2399.2,2465.2,2636.5,2799,2951.9,3133.2,3301.2,3452.5,3602.4,3774.9,3907.5,3983.5,4049,4215.8,4385.8,4522.1,4634.1,4705.1,4872.8,4980.7,5143.4,5272.8,5357.7,5423.3,5581.2,5756.8,5901.6,6040.4,6149,6221.7,6379.4,6543.1,6703.8,6887.3,7044.1,7197
