i,i,r,r,r,r,r,r,e,e,a,b,l,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,l,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,n,a,b,i,r,e,e,a,b,r,r,l,l,r,r,r,e,e,a,b,r,i,l
1497.6,1780.1,1984.2,2193.8,2371.1,2538.8,2702.5,2872.1,2988.4,3129.3,3241.7,3309.5,3417.3,3535.2,3708.8,3844.4,3974.2,4042.4,4180,4347.3,4408.1,4532.2,4602.1,4778,4861.5,4975.3,5107.9,5231.8,5300.9,5436.4,5613.9,5782.4,5917.8,6038,6107.8,6253.4,6440.5,6575.8,6704.6,6839.3,6908.8,7080.2,7164.1,7277.5,7409.8,7531.5,7602.3,7742.2,7918,8066.6,8214.8,8385.5,8543.3,8661.1,8792.3,8914.8,8986.2,9184.6,9373.3,9511.6,9641,9758.9,9836.2,10035,10125,10241,10372,10496,10567,10711,10895,11037,11169,11295,11371,11509,11693,11762,11888,11958,12146,12235,12349,12489,12609,12683,12826,13122,13294,13449,13639,13805,13948,14068,14197,14321,14394,14548,14819,14984
1540.5,1817.4,2045.4,2254.9,2433.1,2600.3,2766.8,2932.8,3089.1,3212.7,3292.8,3364.6,3438.4,3609.3,3777.2,3910.6,4025.6,4100.5,4259.3,4380,4446.2,4588.8,4658,4818.7,4921.6,5072.6,5199.7,5288.3,5351.2,5511.1,5680.7,5890.7,6011.1,6092,6163.1,6327,6503.2,6639.2,6773.8,6891.4,6966.4,7128.3,7228.7,7374.2,7499.3,7592.1,7662.3,7821.8,7989.3,8139.8,8276.6,8436.4,8604.5,8762.7,8889.6,8969.9,9037.8,9260.2,9441.1,9584.9,9712.5,9822.5,9893.8,10089,10189,10344,10464,10549,10625,10788,10966,11109,11241,11356,11429,11584,11734,11804,11949,12021,12201,12300,12457,12585,12669,12739,12904,13176,13360,13521,13701,13856,14011,14169,14297,14381,14449,14629,14868,15048
