i,i,i,i,i,i,i,i,l,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,i,i,i,i,i,e,e,a,b,r,l,i,r,r,e,y
392.79,557.98,778.23,964.31,1131.2,1300,1461.9,1681.3,1840,1985.6,2123.3,2240.2,2313.9,2455.8,2629,2767.7,2908.5,2978.7,3152.1,3240.3,3351.9,3486.5,3609.6,3680.4,3841.8,4025.6,4174.1,4313.4,4451.7,4525.4,4710.4,4883.6,5052.5,5180.2,5300.1,5435.2,5557.7,5630,5769.2,5946.2,6103.3,6238.3,6310.3,6447.9,6612.6,6679,6798.2,6871,7042.4,7128.5,7242.2,7381.6,7505.2,7578.2,7740.3,8011.5,8187.5,8361.6,8519.6,8624.8,8744.4,8882.6,9004.2,9080,9247,9446.7,9630.9,9758.2,9942,10064,10205
428.86,628.23,850.38,1034.6,1183.6,1349.3,1514.9,1717.6,1899.4,2088.5,2217.5,2295.9,2359.8,2521.2,2694.5,2831.6,2955.9,3026.9,3190.2,3291.7,3450.5,3581.4,3662.1,3728.7,3910.9,4091.2,4240.2,4382.6,4509.3,4572.2,4781,4941.8,5087.1,5234.8,5400.3,5533.4,5609.3,5675.6,5837.7,6016.8,6174.5,6294.8,6360.4,6511.9,6651.7,6719.9,6854.4,6921.1,7083.8,7181.7,7351.9,7476.9,7559.1,7631.3,7813.7,8057,8226.7,8401.4,8563.5,8682.9,8848.6,8982,9063.7,9127.7,9320.1,9507.2,9675.5,9820.5,10002,10172,10304
