l,l,i,i,r,r,r,r,r,r,r,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,r,l,i,l,l,r,e,e,a,b,r,l,r,n,n,a,b,r,v,x,a,b,r,l,i,i,l,i,i,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r
1117.8,1302.2,1619.7,1824.9,1989.3,2174.5,2359.9,2543.1,2733.7,2889.2,3060.6,3252.3,3383.8,3455.7,3633.8,3818.7,3958.8,4092.4,4165.5,4308.7,4484.9,4550.5,4672.5,4748.2,4937.1,5027.2,5153.3,5284.1,5419.5,5547.5,5618.7,5758.7,5938,6087.6,6218.8,6355.1,6427.2,6608.6,6697.8,6815.1,6956.1,7083.3,7154.9,7316.9,7494.1,7634.7,7768.1,7908.7,7978.4,8115.9,8284.2,8392.8,8588.8,8762.5,8906.9,9071.1,9194.3,9320.2,9452.6,9579.2,9650.5,9802.3,10027,10179,10348,10490,10630,10707,10850,11013,11075,11211,11282,11423,11608,11774,11938,12097,12271,12449,12614,12743,12863,13001,13128,13201,13356,13529,13671,13806,13876,14058,14151,14269,14407,14536,14609,14769
1177.3,1361,1660,1865.3,2050.2,2233.6,2419.6,2605.8,2788.5,2952.8,3125.1,3358.6,3437,3509.8,3711.5,3890.8,4031.5,4144.3,4221,4383.3,4519.3,4591,4728.4,4801.1,4988.2,5085.8,5250.8,5386.7,5521,5599.4,5671.2,5834.7,6008.7,6159.7,6285.3,6412,6487.8,6663.6,6753.5,6923.6,7059.4,7135.9,7207.6,7393.9,7564,7705.4,7841.5,7964.4,8034.5,8190.5,8342.9,8469.2,8646.5,8805,8974.1,9130.8,9252.4,9423.8,9553.1,9635,9703.6,9872.9,10070,10254,10419,10564,10688,10762,10917,11044,11120,11264,11334,11498,11670,11824,11989,12169,12324,12499,12653,12804,12973,13104,13183,13253,13430,13601,13743,13860,13934,14105,14212,14379,14502,14591,14661,14841
