i,r,n,r,r,r,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,l,i,i,r,e,e,a,b,l,i,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,l,i,l,i,r,r,r,e,e,a,b,n,n,n,a,b,r,l,i,r,e,e,a,b,r,l,l
1411,1611.3,1801.5,1981.2,2148.5,2331.1,2520.6,2703,2826.2,2950.3,3022.6,3195.1,3371.1,3505.7,3645.6,3719,3866.2,4034.7,4179.9,4315.4,4440.2,4510.2,4650.5,4829.3,4972.1,5102.9,5174.4,5351.7,5440.2,5554.9,5689.3,5813.6,5885.6,6024.1,6194.4,6362,6515.9,6627.3,6749.3,6884.5,7007.2,7079.9,7237,7263.2,7397.7,7541.1,7682.4,7815.8,7887.4,8036.5,8131.7,8245,8383.2,8508.1,8580.9,8734.6,8905.5,9049.6,9180.4,9253.1,9391.2,9552.8,9714.1,9851.3,9976.9,10051,10227,10397,10534,10667,10812,10886,11031,11125,11240,11379,11505,11579,11721,11897,12073,12242,12405,12561,12754,12900,13022,13155,13278,13351,13513,13657,13798,13930,14002,14161,14339,14498,14645,14767,14905,15031,15106,15260,15444,15600
1449.8,1669.1,1855.6,2037,2196.9,2386.4,2575.4,2798.2,2925.1,3003.4,3074.4,3262.7,3443.8,3577.5,3697.2,3769.5,3923.9,4087.1,4279.1,4414.6,4493.2,4560.3,4714.1,4896.9,5040.5,5155.6,5225.3,5391.2,5490.6,5659.6,5788.3,5868.4,5934.6,6086.4,6249.8,6395.5,6551.3,6682.7,6856.3,6985.2,7062.2,7127.9,7261.1,7291.1,7469.4,7612.4,7753.5,7867.7,7934.2,8081.7,8181.7,8350.8,8481.6,8563.1,8629.4,8792,8977.1,9119.2,9234.9,9302.3,9457,9612,9825.6,9950.4,10031,10099,10292,10470,10605,10740,10864,10935,11072,11174,11351,11470,11560,11625,11790,11926,12114,12301,12452,12646,12810,12960,13130,13246,13331,13399,13585,13731,13872,13975,14048,14232,14391,14546,14700,14872,15007,15088,15152,15331,15502,15656
