b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,r,i,l,l
1012.9,1183.1,1377,1587.3,1758.7,1876.6,1996.6,2135.7,2257.8,2329.7,2510.5,2689.4,2843.2,2989.2,3059.6,3212.7,3383.4,3492.9,3714.4,3883.6,4045
1058.4,1250.7,1438.2,1631.9,1802.6,1933.8,2095.4,2229.7,2312,2375.7,2576.5,2759.3,2908,3042.1,3109.1,3278.5,3436.8,3563.9,3755.8,3947.1,4085.7
