r,r,r,i,l,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,x,a,b,i,l,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,r,l,i,i,i,i,n,x,a,b,r,r,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,l,l,e,e,a,b,r,n,n,a,b
1060.9,1245.8,1428.9,1651.6,1814.9,1967.8,2105.6,2243.8,2359.8,2430.8,2592.2,2770.4,2910.4,3051.7,3121.9,3258.8,3432.4,3498.3,3622.5,3691.1,3857.9,3948.5,4060,4199.1,4323.2,4394.2,4566.2,4735.3,4891.1,5023.2,5159.6,5229.3,5363.2,5612.8,5738.6,5808.5,5997.3,6087,6208.3,6347.1,6465.5,6538,6687.2,6858.2,7009.1,7146,7219,7353.8,7520.4,7582.8,7704.3,7781.7,7944.4,8031.4,8156.3,8297.1,8415.5,8487.8,8647.8,8821.9,8962.3,9096.7,9243,9302.9,9449.7,9539.9,9658.7,9803.4,9919.1,9991.4,10136,10322,10458,10596,10727,10799,10957,11126,11286,11422,11555,11629,11775,11814,11956,12133,12310,12474,12663,12830,12914,13038,13110,13241,13279,13612,13754,13871,14010,14138,14211,14385,14559,14722,14861,15002,15074,15216,15408,15481,15605,15683,15838,16016,16044,16237,16376,16497,16572,16759,16958,17096,17231,17304
1116.9,1300.6,1487.3,1687.9,1872,2020.6,2206,2332.9,2412.2,2483.4,2656.2,2840.7,2974.6,3096.3,3168.5,3323.9,3459,3536.3,3667,3742.9,3892.8,3995.3,4165.5,4289.6,4369.3,4439.8,4629.8,4806.4,4956.5,5089.9,5204.2,5273.9,5427.4,5650.4,5787.2,5855.2,6035.7,6140.4,6299.5,6432.3,6512.8,6583.4,6747.3,6928,7074.6,7198.2,7265.1,7420.4,7543.8,7620,7760.4,7834.5,7979.2,8087.8,8250.9,8391.8,8466.8,8534,8711,8890.7,9029.2,9169.7,9281.4,9354.4,9490.4,9590.2,9761.7,9889.5,9974.1,10038,10202,10393,10526,10667,10779,10847,11024,11186,11391,11531,11613,11678,11812,11840,11986,12167,12352,12523,12697,12860,12952,13089,13159,13278,13306,13650,13811,13973,14109,14185,14256,14453,14625,14791,14933,15053,15129,15283,15455,15520,15662,15734,15905,16043,16071,16336,16476,16554,16624,16824,17030,17171,17283,17356
