l,l,l,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,e,e,a,b,r,n,n,a,b,i,r,e,e,e,a,b,r,i,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r
1003.1,1165.2,1330.6,1464,1645.2,1827.5,1978.7,2107.8,2244,2363.9,2437,2604,2780.2,2914.6,3043.8,3177.8,3249.5,3399.2,3570,3734.8,3873.3,3996.4,4139.1,4267,4339.4,4467.3,4637.8,4775,4917.6,4988.6,5114.9,5209.2,5322.1,5457.8,5593.2,5714.2,5787.2,5926.5,5964.8,6101.4,6237.7,6371.7,6505.3,6576.7,6710.5,6874.5,6939.1,7066,7137.4,7281.8,7375.7,7493.7,7631.3,7756.8,7831.6,8001.3,8171.7,8304.5,8432.5,8557.5,8629.9,8771,8944.9,9099.6,9225.7,9347.4,9487.9,9614.8,9687.8,9841.8,10019,10155,10305,10376,10500,10675,10833,10967,11091,11163,11321,11491,11639,11773,11845,11994,12169,12319,12473,12620,12756,12885,12958,13120
1056.7,1218.2,1387.1,1523.2,1701.8,1882.2,2030.3,2203.8,2333.2,2422.8,2491.5,2676,2850,2989.2,3113.9,3231.8,3307.5,3469.8,3629.6,3782.8,3930.2,4109.9,4238.8,4320.7,4389.6,4535.7,4706.6,4845.6,4969.2,5043.2,5161.6,5258.8,5428.9,5556.3,5688.1,5773.4,5839.9,5963.2,5990.7,6173.2,6308.6,6443.5,6557.6,6629.2,6785.4,6907.8,6985.7,7117.9,7194.3,7331.9,7435.8,7599.5,7736.9,7814.2,7886.5,8075.3,8243,8376.8,8505.1,8613.8,8678.2,8837.9,9004.8,9138.8,9282.9,9446.8,9584.5,9675,9741.8,9918.4,10093,10225,10358,10430,10569,10736,10936,11059,11147,11214,11394,11568,11711,11828,11898,12064,12229,12364,12526,12727,12854,12940,13014,13194
