l,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,l,r,r,l
1153.3,1320.7,1508.9,1693.3,1869.1,1990.3,2129.9,2252.2,2327.4,2466,2649.1,2788.6,2925.8,3069.6,3139.2,3299.2,3478.7,3638.7,3776.8,3899,3971.7,4129.8,4306.4,4433.7,4561.1,4634.3,4798.9,4978.5,5122.6,5257.9,5442.9,5607.2
1205.2,1375.1,1563.1,1746.2,1925,2100.3,2231.5,2308.1,2380.5,2538.6,2720.5,2857.3,2995.8,3122.4,3194,3370.8,3537.7,3750.1,3871.1,3955.6,4023.6,4201.3,4380,4503.3,4616.1,4688.2,4876.9,5041.9,5186.3,5317.2,5499.3,5666.6
