i,r,r,r,l,r,r,l,r,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,r,n,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,l,r,e,e,a,b
1553.2,1786.8,1969.1,2159.6,2346.4,2490.8,2681.5,2838.2,2984.1,3174.5,3308.9,3421.9,3491.6,3639.7,3797.3,3971.2,4112.7,4223.6,4293.1,4454.7,4649.2,4782.5,4919.1,5044.1,5112.3,5249.7,5426.1,5593.2,5735.6,5859.8,5930.4,6082.2,6250,6401.8,6536.2,6605.3,6802.2,6892,7000,7135.1,7260.2,7331.2,7485.6,7660.2,7817.8,7957.8,8027.8,8192.5,8365.9,8551.9,8702.8,8819.9,8953.6,9075.4,9146.1,9298.9,9466.7,9604.6,9735.5,9809,9957.5,10137,10310,10442,10565,10636,10782,10979,11118,11256,11392,11462,11640,11731,11842,11976,12104,12176
1588.5,1824.5,2020.8,2207.8,2402.6,2536.6,2732.2,2896.6,3033.9,3261.9,3396.1,3470.8,3541.4,3672.8,3861,4066.5,4202.4,4273.6,4345.6,4517.6,4715.2,4849.4,4984.9,5093.2,5166.2,5312.1,5492.5,5697.4,5832.9,5908.5,5980.8,6141.3,6317.3,6472.5,6584.8,6658.7,6839.4,6935.8,7095.1,7230.5,7311.4,7378.4,7533.2,7729.9,7883.7,8007.2,8077.6,8252.2,8421,8589.8,8753.6,8916.3,9045.8,9127.8,9192.7,9354.8,9532.2,9674,9790,9860.1,10024,10192,10412,10536,10617,10686,10840,11045,11189,11326,11444,11514,11670,11781,11938,12080,12156,12224
