i,i,r,r,r,r,l,r,e,e,a,b,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,e,e,a,b,i,i,r,e,e,a,b,r
1962.3,2372.8,2589.9,2792.2,3045.2,3207.9,3404.3,3537,3723.2,3866.6,3985.3,4062.9,4441.8,4614.8,4780.2,4915.5,5041.2,5173.3,5296.9,5368,5524.3,5693.1,5837.9,5974.3,6104.1,6185.2,6324.7,6494.2,6573,6689.4,6765.2,6931.3,7015.6,7135,7273,7398.1,7471.3,7607.2,7783,7928.9,8051.1,8129.5,8363.3,8548,8716,8845.9,8967.1,9105.5,9225.8,9305.3,9458.9,9550.3,9669.4,9808.7,9932.2,10009,10158,10345,10479,10611,10738,10817,10952,11137,11302,11430,11552,11699,11828,11900,12064,12241,12390,12522,12645,12726,13018,13164,13278,13398,13541,13669,13746,13888
2005.6,2428.6,2657.2,2865.9,3090.3,3281.9,3471.2,3607.9,3833.4,3965.3,4051.3,4123.1,4485.1,4681.8,4833.2,4975.6,5143.9,5266.6,5355.5,5425.1,5607.7,5768.9,5912.6,6042.6,6171.7,6250.1,6405.9,6545.6,6618.9,6748.1,6824.9,6975.8,7085.6,7244.6,7377.2,7457.5,7529.2,7687.1,7854.2,7999.6,8117.6,8193.2,8434.4,8606.1,8760.3,8902.5,9073.2,9208.3,9286.5,9359.4,9512.8,9608.5,9773.2,9909.8,9995.5,10063,10241,10417,10553,10688,10804,10877,11036,11200,11356,11493,11660,11802,11893,11961,12151,12319,12498,12626,12718,12787,13070,13215,13344,13509,13648,13732,13802,13969
