l,l,l,r,i,i,r,r,r,r,r,i,l,i,i,l,i,i,r,e,e,a,b,r,n,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,n,a,b,i,i,e,e,a,b,r,n,n,n,a,b,r,l,i,l,e,e,a,b,r,n,n,a,b,r,l,i,i,l,i,i,r,e,e,a,b,r,n
1323.2,1540.8,1728.6,1968,2290.2,2519.3,2685.3,2900,3094.6,3300.3,3503.8,3698.9,3868.9,4053.3,4229.4,4397,4585.3,4756.7,4886,5007.1,5149.9,5268.7,5345.2,5532.2,5711.6,5846.7,5990.1,6131.4,6262.5,6335,6475.8,6665.5,6732.3,6861.6,6932.5,7111.8,7196.7,7316,7460.1,7589.3,7662.2,7808.7,7994.1,8142.1,8274.9,8351.6,8499.6,8679.1,8748.9,8869.9,8942.7,9104.6,9196.5,9313.6,9455.7,9586.5,9659.9,9806.8,9981.8,10128,10266,10337,10472,10655,10720,10849,10920,11113,11205,11320,11461,11583,11658,11816,12001,12144,12281,12418,12490,12663,12859,13019,13196,13371,13509,13635,13712,13863,14053,14186,14318,14398,14590,14770,14951,15151,15314,15487,15668,15759,15879,16017,16141,16218,16421,16597
1371.2,1589.9,1787.3,2022.3,2333.3,2562.2,2748.3,2961.3,3153.8,3364.8,3558.9,3740.4,3935.8,4103.2,4273.2,4463.3,4626.9,4807.9,4944.6,5110.2,5251.9,5326.9,5396.2,5613.8,5782.6,5920.7,6063.7,6202,6313.8,6390.6,6553.9,6699.8,6778.1,6913.8,6984.9,7152.2,7255.4,7422.1,7552.9,7645.4,7719.5,7884,8064.9,8213.6,8332.2,8408.8,8579.2,8718.9,8793.2,8926.3,8995.9,9155.1,9255.7,9409.2,9552.4,9641.8,9712.6,9882.9,10054,10199,10321,10394,10549,10692,10761,10909,10976,11163,11268,11423,11559,11640,11707,11893,12074,12219,12356,12475,12549,12744,12921,13072,13256,13475,13611,13697,13769,13944,14125,14260,14380,14456,14667,14831,14998,15205,15384,15531,15720,15822,15977,16113,16199,16266,16493,16668
