i,l,l,r,i,r,e,e,a,b,r,n,n,n,a,b,r,l,r,n,n,a,b,i,r,e,e,a,b,r,l,l,i,l,e,e,a,b,r,i,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,l,i,i,l,r,e,e,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,i,l,e,e,a,b,r,l,e,e,a,b
1175.9,1355.5,1513.2,1801.8,1998.1,2096.3,2208.7,2347.7,2472.9,2543.5,2686.2,2861.2,2998.4,3123.9,3256.3,3327.6,3473.1,3647.7,3758.7,3939.7,4079.8,4211.7,4282.2,4447.7,4534,4656.7,4784.1,4905.7,4977.1,5128.9,5297.2,5324,5468.7,5637.9,5813.4,5946.7,6070.9,6142.7,6275,6313.7,6457.2,6593.2,6729.7,6867.7,6938.1,7077.2,7242.2,7307.1,7431.6,7503.3,7643.5,7731.2,7848.5,7990,8115.9,8186.3,8333.7,8504.5,8643,8778.2,8915,8986.4,9164.2,9251.1,9366.7,9505.6,9632.1,9705.3,9860.1,10028,10175,10309,10445,10515,10679,10852,11020,11190,11366,11509,11648,11766,11902,12026,12099,12254,12432,12618,12754,12877,12951,13109,13280,13431,13572,13712,13784,13950,14134,14308,14466,14638,14783,14900,14976,15139,15318,15518,15649,15773,15847
1218,1413.1,1574,1874.1,2036.4,2145.8,2312.5,2441.7,2519.8,2588.7,2753.5,2929.9,3068.8,3190.9,3309.5,3376.7,3532.4,3693.8,3833.9,4010.9,4151.2,4263.3,4326.5,4484.1,4584.5,4748.3,4876.9,4955.7,5026.8,5195.4,5322.9,5351,5509.7,5700.8,5908.8,6046.1,6124.1,6189.9,6311.2,6339.9,6525.3,6666.2,6798.8,6915.8,6989.5,7148.2,7275.5,7348.2,7484.8,7555.2,7682.4,7784.8,7951.2,8092.4,8165.8,8237.7,8400.5,8575.3,8709.3,8852.7,8967.3,9039.7,9200.7,9305,9471.3,9606.1,9685.1,9755,9928.2,10095,10246,10377,10492,10565,10752,10910,11085,11231,11413,11572,11703,11870,12005,12080,12146,12323,12494,12725,12850,12928,13003,13180,13353,13504,13644,13765,13836,14024,14193,14350,14528,14741,14871,14955,15026,15211,15386,15611,15752,15824,15895
