l,i,l,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r
1183.1,1994.5,2141.5,2308.1,2441.7,2566.7,2701.4,2826.1,2898.6,3036.4,3202.9,3331.8,3461,3532.2,3668.7,3830.7,3894.4,4022.8,4094.4,4251.7,4336.5,4456.1,4596.3,4716.8,4795,4932.5,5111.3,5255.4,5390.6,5514.9,5594.3,5742.3,5830.3,5946.1,6087.6,6212.2,6285.2,6433.4,6604.8,6739.3,6889.6,7012.6,7091.4,7219,7400.5,7467.2,7592.7,7669.2,7829.3,7923.4,8040.3,8181.7,8306.4,8383.5,8526.2,8704.5,8842.8,8989.1,9120.4,9192,9334.2,9509.6,9712.4,9880.2,10012,10134,10272,10398,10472,10640,10819,10960,11100,11178,11313,11499,11641,11779,11853,11999,12176,12245,12383,12454,12620,12708,12828,12967,13110,13183,13343
1212.5,2038,2205,2351.7,2501.2,2671.1,2800.2,2880.7,2948.2,3104.3,3272,3399.4,3515.8,3589.1,3745.7,3864,3935.7,4076.9,4149.2,4295.7,4395.6,4559.1,4697.1,4777,4850.8,5001.9,5182.2,5323.1,5459.4,5575.6,5651,5788,5892.4,6052.5,6189,6270,6336.8,6505,6676.6,6807.3,6962.1,7072.3,7150.6,7298,7437.1,7508.8,7654.8,7726.3,7878.8,7981.4,8146,8284.9,8368.7,8438.8,8599.7,8775.4,8917,9057.6,9174.4,9248.8,9411.7,9573.5,9763.5,9923,10068,10246,10376,10455,10521,10718,10889,11030,11159,11235,11386,11570,11713,11834,11909,12069,12213,12288,12440,12516,12671,12768,12936,13059,13166,13240,13417
