i,i,r,r,r,r,r,r,l,i,l,l,l,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,l,i,l,i,r,e,e,a,b,r,n,n,a,b,r,l,r,n,n,a,b,r,l,i,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,i,l,e,e,a,b,r,n,e,e,a,b,r,i,l,l,i,l,r,e,e,a,b,r,n,n,a,b,r
1993.6,2308.7,2507.1,2708.3,2921.9,3110.3,3288.3,3468.9,3624.2,3800.5,3969.7,4132.4,4285.3,4448.2,4589.2,4713.2,4846.7,4968.5,5039.1,5193.8,5375,5506.6,5634.5,5768.6,5838.9,5965.7,6136.5,6199.9,6319.7,6393,6557.3,6640.6,6753.8,6886.3,7012.2,7085.7,7224.1,7393.1,7536.3,7666.9,7741.8,7878.8,8054.1,8231.7,8389.1,8550.8,8700.6,8861.2,9017.9,9138.3,9271.2,9399.7,9470.6,9601.9,9780.8,9923.3,10050,10127,10267,10432,10571,10744,10879,11012,11089,11223,11403,11590,11728,11913,12069,12161,12275,12411,12535,12609,12790,12973,13104,13235,13310,13479,13665,13839,13993,14178,14310,14435,14512,14659,14877,15033,15165,15285,15360,15519,15865,16031,16206,16400,16579,16713,16836,16969,17090,17168,17325,17524,17662,17802,17879,18034
2034.8,2353.1,2570.5,2772,2993.2,3177.2,3350.2,3539.8,3694.1,3848.9,4047.4,4205,4354.1,4516.4,4649.2,4822.4,4940.3,5023.9,5096.2,5271.3,5445.4,5577.7,5707,5822,5895.2,6037,6172.2,6246.2,6374.6,6448.3,6605.7,6700,6861.2,6992.7,7075.4,7144.8,7299.2,7468.9,7609.3,7731.1,7802.3,7954.1,8116.8,8272,8451.7,8591.7,8768,8911.2,9076.3,9238.2,9368.3,9452.6,9524.2,9683,9851.8,10001,10116,10189,10341,10488,10648,10818,10956,11078,11149,11298,11462,11632,11796,11953,12120,12215,12376,12508,12592,12663,12869,13046,13174,13297,13369,13563,13727,13886,14058,14276,14415,14498,14568,14734,14950,15133,15259,15347,15423,15599,15918,16104,16280,16451,16655,16773,16943,17066,17149,17222,17401,17595,17737,17861,17940,18119
