i,i,r,r,r,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e
1444.6,1807.6,1966.1,2173.4,2388.6,2574.1,2760.1,2899.2,3017,3092.5,3241.9,3422,3570.1,3708.7,3785.2,3928.5,4113.2,4298.4,4432,4549.1,4692,4811.6,4888.9,5037.1,5214.4,5352.8,5501.1,5577.2,5761.4,5853.2,5968,6109.2,6233.4,6307.3,6470.6,6643.9,6787,6935.7,7008.1,7265.3,7367.4,7485.8
1479.9,1850.2,2021.9,2234.1,2447.1,2633.3,2866,3001.8,3076,3143.9,3313.2,3490.4,3642.7,3767.1,3838.4,3998.6,4175.4,4348.4,4487.9,4654.9,4795.2,4872,4940.3,5106.5,5287,5421.5,5559.6,5632.5,5808.5,5909,6078.6,6214.5,6290.8,6357.7,6539.1,6718,6862,6990.4,7066.2,7309.2,7419.1,7582.6
