l,l,i,i,i,i,v,x,a,b,r,l,l,r,n,n,n,a,b,r,v,x,a,b,r,l,e,e,a,b
1823,1966.9,2148.4,2304.4,2442.8,2608.1,2765.4,2832.6,2953.6,3025.8,3174.5,3349.6,3518.5,3661.8,3836.2,3978.2,4105.8,4238.8,4311.2,4448.2,4620.1,4684.8,4807.3,4878.1,5043.4,5221.2,5370.9,5506.4,5637.6,5708.8
1886.4,2033.7,2192.6,2340.8,2492.4,2651.7,2805,2879,3011.1,3081.3,3249.4,3415.2,3590,3739.2,3911.1,4048,4176.4,4292.3,4365.1,4521,4656.7,4731.7,4862.3,4932.7,5106.9,5281.2,5479.3,5609.3,5688.5,5763.3
