l,l,i,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,e,e,a,b,r,n,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,n,n,a,b,i,r,e,e,a,b
1298.8,1434.5,1596.3,1744.6,1878.3,1996.6,2134,2255.8,2328.3,2478.3,2647.5,2787.7,2913.1,3042,3114.2,3246.3,3413.1,3477.8,3596.4,3672.7,3818.3,3912.1,4026.9,4160,4281.9,4355.5,4492.4,4665.9,4828.3,4964.4,5086.5,5161,5300,5471.9,5606,5738.6,5879.5,6022.4,6094.2,6267.3,6353.4,6468.7,6607.7,6734.4,6806.8,6956.7,7131.3,7272.5,7414.5,7555.8,7696.9,7819.5,7896.6,8084.9,8173.3,8290,8434.7,8556,8631.6
1338.2,1490.4,1635.5,1808.5,1933.1,2098.7,2227.8,2306.7,2373.3,2547.5,2715.9,2858,2986.1,3095.5,3166.3,3322.1,3448.4,3522.2,3654.3,3727.1,3864.3,3967.9,4124.2,4259.1,4335.4,4395.1,4564.8,4723.4,4930.4,5062.2,5143.9,5215.4,5372.3,5544.4,5680,5811.5,5949.4,6075.4,6148.4,6315.2,6412.7,6575.5,6714.2,6787.1,6858.5,7032.6,7201.5,7343.3,7487.6,7631.6,7769.4,7879.7,7948.9,8126.6,8231.4,8398.8,8533.1,8613.9,8683
