l,l,r,r,l,r,e,e,a,b,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,i
1008.2,1187.4,1337.2,1526.6,1700.9,1832.1,1979.4,2117.5,2241,2315.6,2474.2,2616,2757.9,2888.8,2961.5,3107.1,3279.6,3344.1,3479.8,3551.5,3681.3,3775.5,3890.4,4036.6,4162.6,4236.4,4389.1,4568,4703,4849.2,4921,5062.9,5226.8,5368.7,5489.8,5626.8,5753.2,5829.8,5970.3,6156.3,6293.6,6423.1,6557.8,6629.8,6771.4,6937,7098.6,7227.8,7349.3,7486.3,7614.2,7688.9,7859.7,8031.6,8177.2
1056,1238.3,1387.2,1581.2,1758.9,1882,2080.5,2213.2,2298.1,2368.2,2547.4,2688.4,2824.9,2942.2,3014.9,3174.3,3312,3383.6,3531.3,3601.2,3702.1,3819.5,3996.1,4136.5,4217.5,4283.2,4457.9,4635.4,4778.3,4901.1,4974.4,5101.3,5274.4,5427.5,5588.7,5731.4,5810.9,5876.9,6039.1,6221.7,6366.2,6497.3,6608.4,6681,6837.7,6992.9,7137.2,7276.7,7446.5,7589.9,7670.2,7735.1,7927,8104.3,8222.1
