l,l,l,l,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b
1092.1,1263,1421.5,1588.4,1795.8,1953.2,2135.9,2274.5,2410.1,2544.9,2667.2,2740.2,2895.3,3058.8,3194.9,3320.5,3452.3,3525.8,3664.7,3837.4,3902.1,4027,4103.9,4258.7,4351.8,4467.2,4607.7,4733.3,4806.2,4967.2,5142.9,5280.9,5415.1,5493.2,5639.1,5808.2,5875.9,6013.5,6090.2,6270,6357.9,6476.9,6616.9,6740.7,6814.6,7002.3,7177.6,7324.7,7460.2,7586.6,7658.9,7884.1,8031.8,8150.3,8287.8,8416.7,8490.1
1147.8,1328.9,1483.8,1654.2,1835.2,2017.6,2179.4,2333.3,2506.4,2642.9,2722.2,2791.7,2967.2,3131.6,3266.3,3393.3,3505.9,3584.6,3732.9,3870.1,3948.3,4083.2,4159.8,4309.3,4406,4567.9,4705,4787.9,4851.8,5040.3,5214.2,5353.8,5474.4,5545.6,5709.8,5846,5919.7,6071.4,6143,6310.7,6413,6577.4,6709.9,6794.3,6859.9,7070.8,7245.8,7399.4,7531.1,7639.6,7714,7935,8092,8245,8389.7,8470.6,8544.2
