i,r,l,l,r,r,r,r,l,l,l,r,l,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,i,i,r,e,e,a,b,r,n,n,e,e,e,a,b,r,l,i,r,e,e,a,b,r,n
1107.5,1274.6,1476.8,1644.6,1788.3,1967.3,2143.8,2317.6,2486.4,2630.1,2781.3,2929.9,3091,3206.5,3330.5,3469.5,3595,3665.6,3817.6,3984.9,4120.8,4248.8,4320.4,4494.9,4587.5,4702,4842.3,4963,5038.9,5174.6,5358.8,5491.7,5630.2,5699.9,5891.6,6073,6220.8,6343.3,6481.8,6606.1,6678.7,6822.3,6990.3,7134.1,7283.5,7416.6,7556.9,7680.8,7753.3,7899.4,8071.9,8242.7,8388.8,8510.6,8644,8773.9,8846.2,8984.7,9166.2
1146,1329.7,1538.8,1705,1844.6,2026.2,2198.1,2373.8,2548.6,2689.4,2842.9,2986.3,3148.8,3263.7,3435.3,3571.1,3648,3708.8,3886.1,4057.2,4189.6,4303.1,4379.6,4546.2,4641,4811.6,4944.4,5018.5,5084.4,5243.4,5426.3,5559.3,5681,5750,5953.7,6121.2,6281.8,6447.2,6584.4,6660.8,6726.4,6898.2,7058.4,7198.4,7389.1,7525.1,7657.2,7735.7,7805.4,7976.1,8129.4,8292.9,8446,8619.8,8748,8824.1,8899.1,9063.4,9236.2
