i,i,r,r,l,r,e,e,a,b,r,n,n,a,b,r,n,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,l,i,r,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,a,b,r,n,n,a,b,r,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,n,e,i,i,r,e,e,a,b,r,n,n,a,b,r,l,l,a,b,i,r,e,a,b
1330.2,1591,1784.1,1972.2,2158,2307.1,2442.6,2581.8,2700.8,2779.8,2952.1,3131,3289.9,3429.5,3509.8,3662,3851.6,4011.5,4147.2,4273.8,4351.1,4495.4,4672.1,4814.1,4957.7,5030.5,5184.5,5357.9,5504.8,5650.1,5723.3,5874.4,6053.8,6229.1,6367.1,6493.4,6623.1,6701.4,6851.6,7028.3,7177.3,7309,7388.4,7538.6,7720.5,7885.2,8029,8154.2,8298.5,8419.2,8502.2,8652.9,8831.6,8986.3,9125.8,9259.3,9338.4,9481.9,9667.8,9834.9,9991,10115,10254,10331,10478,10664,10812,10954,11035,11202,11517,11676,11815,11982,12125,12247,12331,12516,12707,12846,12998,13128,13209,13345,13526,13691,13846,13971,14111,14240,14316,14508,14684,14831,14974,15056,15213,15391,15560,15945,16134,16237,16359,16505,16633,16714,16853,17041,17191,17330,17411,17584,17769,17839,17965,18045,18212,18307,18431,18569,18649
1372.4,1629.7,1845.9,2037.2,2227.5,2368,2545.5,2682.8,2766.2,2838.8,3036.3,3205.8,3364.2,3498.4,3572.3,3750,3926.1,4115,4254.1,4337.2,4411,4579.5,4749.4,4888.3,5016.5,5093.3,5276.1,5434.5,5582.1,5709.4,5789.2,5966.2,6122.9,6285.4,6431.9,6600,6686.9,6759,6937.7,7109.7,7254.4,7379.2,7455.1,7628.3,7786.7,7943.3,8095.7,8262.3,8409.3,8487.1,8563.8,8746.8,8911.5,9063.2,9204.1,9324.2,9397,9560.6,9725.2,9887.3,10052,10227,10317,10392,10557,10740,10890,11020,11092,11294,11574,11736,11881,12089,12221,12316,12390,12604,12786,12924,13075,13193,13268,13431,13592,13746,13910,14073,14218,14304,14375,14587,14766,14913,15049,15122,15301,15464,15654,16006,16187,16298,16470,16611,16699,16776,16948,17121,17271,17397,17474,17666,17808,17881,18034,18108,18272,18373,18540,18636,18706
