r,l,l,i,l,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,i,r,e,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,l,i,r,e,e,a,b,r,n,n,n,a,b,i,l,i,r,e,a,b,r,n
1016.3,1211,1359.3,1541.2,1712.7,1854.3,1986.5,2128.3,2241.8,2311.4,2459.1,2638.2,2816.7,2941.3,3065.5,3137.2,3317.8,3501.6,3635.9,3766.8,3835.9,4010.2,4097.8,4216.6,4360.2,4483.3,4554.1,4695.4,4885.7,5020.7,5155.6,5226.8,5374.8,5548.7,5688,5834,5903,6048.3,6223.5,6400.9,6531,6657.7,6729.5,6864.5,7052.1,7194.3,7330.5,7401.8,7551.9,7642.8,7766.1,7895,8028.9,8151.5,8224.2,8384.4,8562.9,8710.7,8845.9,8977.6,9048.7,9191.6,9374.5,9448.8,9577.2,9647.8,9817.4,9909.4,10020,10162,10277,10352,10495,10668,10819,10975,11028,11215,11313,11424,11559,11684,11759,11979,12165,12334,12466,12606,12678,12866,12956,13070,13212,13338,13411,13578,13770,13913,14050,14123,14269,14455,14649,14809,14975,15127,15248,15387,15516,15589,15831,16013,16159,16301,16438,16511,16812,16976,17170,17322,17441,17572,17646,17820,18010
1068.2,1262,1414.8,1573.9,1772.1,1902.8,2090.3,2219.2,2288.1,2356.9,2522.4,2709.6,2908.9,3040.8,3117.3,3187.2,3382.2,3561.1,3704.6,3815.9,3883,4035.2,4146.1,4319.6,4454.8,4536.3,4598,4756.4,4948.9,5090.6,5205.7,5273.2,5440.2,5616.8,5753.1,5883.2,5952.9,6112.9,6280.5,6501,6633.6,6704.9,6772.5,6944.7,7117.2,7260.4,7376.8,7451,7588.9,7691.3,7862.9,7993.4,8126.7,8203.9,8272,8449,8635.5,8778.9,8917.5,9021.6,9095.8,9259.9,9404,9488.3,9627.2,9692.8,9850.2,9952.4,10124,10249,10332,10399,10559,10741,10889,11007,11077,11247,11364,11521,11648,11732,11799,12033,12228,12403,12533,12658,12726,12892,13006,13176,13315,13391,13454,13644,13842,13983,14101,14171,14333,14507,14684,14866,14998,15177,15351,15489,15566,15634,15859,16079,16226,16371,16492,16562,16855,17039,17209,17373,17545,17624,17689,17888,18075
