r,i,l,i,i,r,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,l,i,l,i,i
1046.9,1239.2,1390.1,1568.9,1742.4,1871.5,1995,2118.2,2188.9,2340.1,2515,2679.8,2810.2,2935.1,3006,3155.2,3342.2,3479.6,3614.6,3683.6,3838,4019.2,4191.4,4357.1,4527.7,4663
1105.3,1268.7,1449.8,1607.2,1777.2,1918.9,2086.5,2171.4,2234.8,2401.2,2583.8,2772.4,2909,2990.6,3058.2,3219.6,3407.5,3541.5,3663.7,3735.1,3906.3,4072.5,4228.4,4414.2,4565.6,4688
