r,r,r,r,r,e,e,a,b,r,n,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,n,i,l,i,i,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,l,i,l,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,l,i,i,r,e,e,a,b,r
1135.1,1317,1494.5,1683,1875.7,1997.4,2126.4,2249.5,2321,2527.3,2705.5,2845.4,2973.2,3106.8,3242.7,3311.5,3484.4,3577.2,3691.2,3827.6,3949.9,4020.5,4178.2,4348.9,4494.7,4640.3,4772.6,4842.8,4983.5,5160.7,5333.3,5503.5,5643,5761.2,5896.2,6017.8,6089.1,6233.7,6408.3,6556.9,6688.2,6812.2,6883.3,7030,7206.3,7281.7,7408.8,7478.9,7666.8,7750.8,7864.9,8001.5,8125.6,8197.2,8353.2,8525.7,8694.4,8846.7,8945.6,9056.8,9192.8,9311.8,9387.4,9569.9,9746.7,9887,10018,10090,10269,10363,10475,10612,10738,10814,11016,11058,11182,11375,11549,11679,11854,11986,12106,12183,12329,12510,12652,12786,12930,13002,13171,13256,13370,13510,13636,13708,13909,14080,14247,14425,14604,14749,14885,15006,15083,15241,15426,15562,15705,15841,15914,16051,16226,16413,16548,16674,16747,16936,17118,17292,17453,17547,17660,17799,17927,18000,18179
1190,1373.2,1550.6,1740.2,1926,2096.9,2225.5,2299.3,2369.9,2593.2,2771.5,2912.6,3043.3,3175.1,3293.7,3361,3526.5,3630.2,3793.9,3921,4002,4069.9,4247.2,4417.3,4568.8,4708.5,4826.3,4891.5,5048.4,5217.8,5369.6,5543.9,5695.8,5860.8,5995.5,6068.2,6137,6305.3,6475.7,6628.3,6754.8,6866.2,6934.4,7099.8,7252.3,7321.8,7460.7,7529.6,7703.4,7804.6,7961.2,8100.3,8177.9,8247.6,8413.5,8577.6,8740.2,8882.3,8994.3,9166.5,9284.7,9367.9,9433.8,9643.8,9814.8,9953.8,10072,10143,10312,10414,10585,10713,10797,10865,11057,11079,11240,11424,11589,11745,11952,12081,12161,12231,12399,12580,12725,12854,12983,13055,13211,13312,13473,13611,13689,13755,13977,14155,14306,14472,14668,14845,14988,15061,15131,15304,15496,15637,15778,15896,15963,16122,16286,16515,16648,16731,16799,17000,17175,17333,17493,17595,17764,17890,17978,18052,18254
