r,r,i,i,l,l,r,e,e,a,b,r,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,i,r,e,e,a,b,r,n,n,n,a,e,l,l,i,l,e,e,a,b,r,l,i,r,e,e,a,b,r,r,v,x,a,b,i,r,e,e,a,b,r,i,n,e,e,a,b,i,l,i,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,i,l,l,r,e,e,a,b,r,n,l,i,l,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b
1184.7,1385.1,1595.2,1788.3,1961.4,2134.5,2262.9,2389.8,2527,2643.5,2712.9,2883.2,2923.1,3064.2,3204.6,3338.9,3458,3533.8,3666.9,3856.6,3916.5,4044.1,4114,4280.2,4374.7,4490.3,4621,4744.6,4820.2,4968.2,5140.2,5281.7,5428,5566.2,5636.7,5777.4,5949.4,6116.7,6253.7,6376.4,6448.6,6622.1,6711.6,6826.8,6970.3,7094.9,7168.7,7333.4,7512,7649.1,7790.5,7912.9,7992,8015.8,8151.2,8196.4,8333.1,8508.1,8642.9,8771.3,8842.4,8992.2,9167.3,9331.2,9477.9,9599.1,9737.3,9862.5,9937.2,10105,10144,10298,10363,10499,10575,10810,10899,11015,11157,11284,11357,11506,11548,11699,11874,12009,12137,12210,12556,12715,12912,13097,13276,13421,13542,13684,13808,13882,14038,14231,14385,14530,14666,14739,14912,14998,15118,15253,15383,15456,15836,16022,16192,16334,16454,16592,16717,16790,16946,17127,17325,17517,17684,17874,18010,18138,18229,18371,18564,18753,18886,19010,19154,19282,19357,19516,19711,19858,19996,20074,20227,20431,20612,20802,20892,21007,21149,21280,21350
1238.8,1435.4,1636.6,1826.5,2026.1,2194.3,2318.7,2473.7,2606.9,2690.8,2759.1,2922.1,2953.2,3127.3,3271.5,3404.8,3510.1,3580.7,3731.1,3883.8,3956.3,4091.6,4165,4327,4430.4,4587.6,4717.2,4797.5,4864.9,5032.4,5203.6,5349.3,5502.1,5613.8,5686.7,5844.2,5978.7,6213.9,6346.7,6427.3,6497.3,6660.2,6767.2,6927.9,7063.4,7145.5,7214.4,7403.4,7579.8,7718.5,7856.6,7967.8,8014.6,8037.5,8194.2,8224.7,8390.3,8614,8737.6,8819.4,8892.3,9065.2,9225.1,9383.3,9535.8,9705.6,9836.6,9915.1,9982.7,10143,10171,10330,10403,10554,10628,10848,10955,11121,11251,11339,11404,11547,11576,11764,11975,12103,12188,12260,12603,12780,12959,13143,13321,13478,13642,13777,13858,13926,14109,14295,14451,14596,14718,14791,14950,15057,15221,15346,15438,15509,15885,16082,16255,16388,16560,16691,16769,16836,17010,17193,17386,17564,17751,17976,18107,18190,18263,18438,18622,18791,18941,19114,19251,19332,19401,19589,19781,19932,20055,20124,20303,20488,20660,20847,20944,21112,21252,21333,21401
