i,i,l,l,l,r,e,e,a,b,r,n,n,r,a,b,r,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,i,l,e,e,a,b
1029.4,1219.8,1383.9,1569.1,1726.7,1869.6,1997.2,2130.9,2253.7,2325.1,2499.3,2668,2809.4,2948.2,3081.5,3151.8,3292.8,3327,3469.2,3529.7,3651.6,3720.4,3879.5,3965.5,4087.6,4215.5,4338,4412.2,4587,4770.9,4911.3,5053.9,5126.4,5288.9,5377.5,5489.8,5625,5751.8,5823.3,5966.6,6136.8,6291.1,6430,6554.3,6626.9,6812.3,6989.9,7129.3,7265.9,7336.3,7478.8,7657,7721.8,7840.7,7917.8,8086.6,8182.5,8297.4,8432.2,8568.4,8696.3,8768.5,8938.2,9117.9,9259.2,9395.9,9470.8,9611.8,9791.8,9856.5,9975.2,10053,10229,10316,10431,10568,10692,10766,10921,11100,11232,11369,11504,11576,11720,11886,11960,12079,12150,12322,12407,12526,12665,12788,12864,13014,13180,13358,13491,13615,13690,13893,14083,14149,14288,14366,14520,14608,14728,14873,15000,15073,15246,15435,15597,15742,15886,15960,16107,16295,16468,16645,16764,16886,17023,17147,17222,17374,17561,17700,17848,17987,18060,18219,18258,18395,18582,18716,18842,18918
1053.5,1255.7,1444,1624.7,1787,1923.2,2091.4,2220.7,2302.3,2371.3,2566.3,2732.8,2875.5,3008.2,3128.3,3195.8,3325.8,3359.8,3495.3,3569.4,3697.6,3768.6,3914.8,4017.9,4170.1,4310.9,4389.8,4458,4654.2,4837.7,4978.5,5105.4,5170.8,5325.5,5429,5585.6,5721.7,5801.4,5867.5,6034,6207.5,6398.3,6521.7,6605.7,6672.6,6883.1,7055.1,7201,7313.3,7383.7,7550.5,7684.2,7759.2,7895.1,7963.8,8125.1,8234.5,8403.5,8534,8669.9,8745.5,8815.6,9010.6,9182.8,9328,9446.1,9518.7,9683.8,9819.4,9896.1,10033,10105,10266,10368,10525,10662,10742,10810,10991,11172,11306,11440,11556,11626,11784,11914,12000,12130,12199,12359,12464,12632,12761,12843,12916,13079,13243,13449,13585,13669,13740,13960,14113,14190,14347,14419,14557,14665,14829,14963,15049,15122,15321,15501,15669,15813,15937,16009,16180,16351,16516,16689,16819,16980,17126,17200,17269,17446,17633,17771,17916,18039,18113,18257,18287,18460,18677,18814,18895,18963
