i,i,r,l,l,r,i,r,l,r,e,e,a,b,r,n,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,l,r,e,e,a,b,r,n,e,e,a,b,r,l,i,i,i,i,r,l,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,l,r,e,e,a,b,r,n,n,a,b,r,l,i,l,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b
1692.5,1993.6,2227.2,2446.2,2618,2837.6,3186.2,3346.8,3538.8,3678,3876.1,4006.8,4127.4,4203.6,4415.4,4601.5,4784.4,4937.9,5077.8,5207.9,5336.2,5408.2,5556.3,5734.9,5883.4,6016.2,6152.8,6223.2,6360.8,6548.9,6619.9,6762.2,6833.2,7008.7,7101.9,7218.2,7356.7,7487.4,7560.4,7725.6,7922.2,8094.9,8231.6,8362.9,8435.4,8585.9,8769.2,8966.2,9174.2,9340.9,9511.7,9663.6,9831.4,9967.1,10095,10232,10360,10434,10591,10784,10927,11054,11135,11271,11446,11521,11674,11744,11930,12023,12144,12284,12410,12490,12723,12903,13052,13186,13265,13396,13596,13782,13952,14140,14283,14412,14549,14679,14754,14936,15127,15270,15445,15520,15720,15901,16086,16227,16356,16430
1723.1,2039.5,2287.8,2503,2682.7,2895.2,3227.3,3407.9,3602.2,3739.1,3964.6,4098.8,4184.9,4257.4,4487.5,4669.3,4823,4996.2,5173.7,5308.8,5387.3,5459.9,5634.7,5806,5952.5,6083.1,6203.3,6279.3,6449.7,6592.1,6662.7,6812.7,6880.7,7058.6,7160.5,7322,7451.9,7540.1,7613.9,7800.2,7991,8202,8330.8,8416.3,8494.2,8664.3,8831.1,9018.7,9215.6,9378.6,9561.3,9724,9890.9,10028,10201,10333,10417,10481,10674,10860,11002,11116,11200,11351,11492,11562,11734,11805,11990,12087,12252,12385,12470,12550,12801,12981,13124,13247,13326,13475,13658,13832,14025,14192,14344,14516,14642,14736,14806,15015,15197,15347,15504,15577,15805,15962,16200,16329,16413,16491
