r,r,r,l,r,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b
1183.6,1376.5,1570.8,1741,1870,1997.2,2127.1,2194.9,2363.5,2527.2,2667.9,2807.7,2941.6,3010.6,3179.4,3264.2,3378.8,3520.7,3635.3,3705.6,3850.9,4021.1,4089.9,4231.1,4300.2,4477.6,4569.2,4685.5,4817.7,4940.3,5014,5162.1,5350.3,5537.2,5677.2,5799.6,5936.7,6061.8,6134,6268.5,6447.9,6585.6,6734.2,6806.8
1236.8,1428.9,1623.4,1795.2,1922.9,2092.3,2175.5,2242.8,2434.8,2597.9,2739,2878.2,2992.6,3060.9,3222.3,3322.6,3480.4,3601.9,3684.4,3748.5,3917.2,4053.3,4125,4280.4,4349.2,4514,4623.6,4790.2,4915.5,4991.3,5058.2,5230.3,5412.9,5577.6,5734.2,5895.3,6029.3,6114.8,6182.9,6336.7,6514.5,6652.2,6785.9,6855.7
