r,r,r,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,v,x,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n
1120.5,1308.7,1503.6,1668.8,1805.7,1994.7,2126.7,2248.9,2320,2480.7,2654.1,2782.7,2930.4,3074.9,3144.5,3280.8,3451.2,3514.4,3641.9,3710.8,3873.4,3962.7,4078.2,4210.8,4335.5,4408.4,4547.6,4727.2,4880.6,5016.8,5141.9,5214.7,5342.4,5531.7,5597,5722.1,5795.7,5943.4,6045.1,6158.3,6297.8,6422.6,6496.2,6662.8,6832.2,6973,7104.1,7234.1,7306.8,7440.5,7611,7677.8,7806.2,7878,8051.3,8145.5,8261.7,8403.5,8526.4,8599.3,8734.6,8927.3,9063.4,9197.1,9325.5,9397.4,9535.7,9711.1,9869.5,10005,10132,10206,10366,10546,10684,10818,10949,11021,11178,11266,11385,11523,11647,11721,11884,12055,12193,12318,12461,12533,12713,12814,12928,13067,13194,13269,13415,13601,13675,13811,13884,14045,14233,14379,14522,14668,14740,14875,15059,15244,15385,15519,15654,15780,15856,16004,16196
1168.8,1366.3,1558.3,1731,1864,2084.3,2223.4,2299.1,2371.4,2560.8,2723.6,2850.7,2996.6,3125.8,3196.2,3352.5,3480.2,3556,3690.6,3761.8,3913.4,4014.8,4175.2,4307.3,4387.2,4452.9,4621.8,4792.7,4985.9,5114.7,5192.8,5266.1,5438.5,5564.6,5635.8,5776.7,5845.2,5989.3,6095.6,6265.6,6393.2,6475.8,6543,6731,6902.5,7046.4,7172.9,7283.5,7362.1,7509.5,7640.3,7713.5,7857.4,7927.7,8095.2,8199.3,8365.6,8498.3,8577.7,8647.2,8801.6,8993.9,9134.3,9265.1,9379.4,9452.8,9609.4,9768.8,9971.4,10103,10183,10249,10452,10614,10760,10893,11001,11068,11219,11326,11488,11619,11701,11769,11958,12125,12262,12390,12514,12586,12757,12866,13031,13168,13250,13321,13484,13643,13712,13866,13934,14114,14301,14447,14596,14722,14798,14950,15118,15285,15445,15621,15756,15835,15904,16076,16265
