r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,i,i,r,r,e,e,a,b,r,l,r,e,e,a,b,r,n,n,a,b,r,n,e,e,a,b,r,l,i,i,r,e,e,a,b,r,l,i,r,e,e,a,b
1006.7,1211.9,1410,1599.1,1797.3,1986,2126.3,2247,2324.3,2474.1,2657.3,2796.2,2929.4,3069.1,3140.7,3291.2,3473.6,3632.8,3760.9,3879.5,4019.6,4143.9,4217.8,4373.4,4556.1,4694.4,4825.3,4899.4,5064.4,5157.2,5276.6,5418.2,5541.7,5614.4,5756.4,5935.3,6117.1,6271,6398.1,6535.2,6663,6738.5,6885.3,7061,7202.5,7342.2,7417.7,7554.3,7735.5,7800.5,7925.9,7997.3,8163.1,8254.3,8396.8,8534.8,8663.3,8737.7,8874.6,9084.6,9225.6,9358.9,9431.1,9613.3,9789.2,9933.5,10069,10145,10518,10676,10795,10980,11107,11250,11374,11448,11613,11827,11961,12091,12234,12358,12438,12584,12764,12906,13039,13113,13270,13457,13619,13753,13882,13957,14111,14315,14486,14640,14748,14868,15013,15143,15218,15380,15591,15769,15904,16026,16166,16297,16372
1058.8,1263.8,1463.9,1658.1,1855.7,2089.5,2222.4,2305.1,2376.7,2555.2,2728,2865.8,3003.8,3121.5,3194.6,3359.5,3529,3670,3816.1,3988.9,4117.4,4200.5,4270.1,4442.4,4624.2,4762.2,4879.7,4953.7,5106.6,5207.6,5383.7,5519.6,5598.1,5661.8,5821.3,5996.9,6153.6,6328.1,6502.2,6632.2,6721.4,6786.7,6954.2,7134.2,7276.5,7397.8,7473.2,7627.3,7762.9,7840.6,7978.8,8054.2,8211.1,8311.2,8492.9,8632.7,8721.8,8788.3,8946.2,9153.7,9295.7,9414.3,9481.8,9684.2,9860.9,10005,10129,10201,10568,10723,10861,11038,11211,11345,11432,11497,11685,11881,12018,12198,12327,12417,12489,12648,12837,12980,13094,13168,13338,13531,13723,13859,13942,14010,14184,14372,14532,14685,14803,14981,15114,15201,15267,15452,15648,15813,15961,16131,16268,16354,16420
