r,r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,i,i,r
1021.8,1162.8,1327.8,1496.4,1681.4,1865.6,1996.3,2132.3,2249.9,2320.6,2498.3,2678.3,2829.4,2963.2,3086.7,3156.3,3301.8,3482.5,3547.2,3677.4,3747.2,3916.4,4006.7,4129.7,4267.3,4390,4461.8,4613.3,4803.9,4940.4,5079.8,5150.2,5296.4,5475.8,5659.6,5797.8,5918.7,5990.7,6151.6,6348.6,6485.8,6636.1,6705.2,6850,7023.9,7087.7,7226.4,7295.4,7470.6,7561.2,7673,7809.6,7935.5,8008.3,8152.8,8328.9,8528.3,8702.6,8837.2
1065.4,1218.2,1386.5,1552,1729.8,1917.2,2088.3,2227.6,2301.2,2368.3,2563.3,2748.8,2900.2,3032.6,3132,3208,3364.1,3514.2,3586.2,3726.6,3798.5,3952.7,4052.3,4235,4363.4,4437.9,4508.2,4671.6,4866.2,5003.5,5129,5200.3,5362.1,5530.2,5762,5897.2,5972.6,6039.9,6220.8,6409.9,6557.5,6686.2,6756.6,6915.1,7053.2,7129.1,7276.3,7345.3,7503,7603,7773.8,7907.8,7983.1,8055.8,8216.6,8383,8562.6,8734.1,8891.5
