i,l,l,l,l,r,r,r,r,r,r,e,e,a,b,r,n,n,n,b,b,r,l,e,e,a,b,r,n,n,a,b,r,l,i,l,i,l,r,e,e,a,b,r,n,n,n,a,b,r,l,i,l,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b
1105.1,1296.5,1469,1651.7,1805.7,1972.5,2145.1,2329.6,2498.2,2686.5,2848.5,3045.8,3172.9,3295.7,3368.8,3503.5,3684,3818.4,3956.4,4086.2,4160.4,4298.8,4471.2,4619.5,4755.9,4879.2,4949.4,5095.5,5273.4,5418.1,5555.4,5624.2,5764.2,5940,6121.4,6288.4,6475.7,6630.8,6934.3,7051.5,7192.1,7311.5,7386.8,7538.7,7725.1,7860.8,7992.4,8123.4,8193.2,8333.3,8500.1,8674.9,8848.8,9024.3,9195.7,9283.1,9396.4,9534.4,9655.9,9728.4,9896.7,10078,10219,10348,10477,10552,10733,10819,10934,11071,11197,11268
1144.7,1349.3,1527.7,1714.3,1866.3,2026.2,2203.4,2387.3,2557.4,2746,2907.7,3138.6,3270.9,3349.9,3417.7,3572.8,3751.6,3882,4022.8,4141.9,4216.3,4366,4520.4,4726.9,4850.8,4930.4,5000.5,5161.1,5344.4,5488,5608,5678.5,5831.2,5992.3,6157.9,6351.7,6512.3,6697,6992.2,7160,7281.8,7366.6,7439.7,7608,7792.7,7931.9,8061.2,8174.3,8246.4,8399.7,8557.5,8718.5,8910.1,9060.7,9233.8,9330.4,9501.4,9628.9,9708.3,9781,9965.2,10148,10288,10421,10536,10612,10784,10879,11040,11174,11251,11321
