i,r,r,i,r,e,a,b,r,n,n,n,a,b,r,l,i,l,i
1209.7,1357.9,1530.7,1714.5,1868.5,1988.2,2119.7,2192.1,2344.6,2530.2,2670.3,2800.9,2927.9,3000.6,3154.1,3341,3524,3700.8,3879.6
1243.5,1414.1,1583.8,1767.4,1917.4,2092.1,2174.4,2244,2408.2,2600.4,2741.2,2870.9,2981.4,3051.5,3217.7,3394.4,3557.9,3758.9,3913.2
