l,l,l,i,r,r,l,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,a,b,r,n,n,a,b,r,n,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,l,i,r,e,a,b,r,n,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,v,x,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b
1640.2,1790.5,1970.8,2214.7,2385.4,2557.9,2729.7,2864.9,2987.9,3125.9,3248.4,3321.7,3487.7,3659,3797.2,3944.5,4066.8,4146.8,4279.9,4454.3,4617.2,4759.6,4878.2,5005.6,5083.4,5224.7,5396.4,5541.1,5667.9,5747.9,5879.2,6059,6206.2,6342.4,6459.9,6539.5,6678.6,6844.9,6991,7121.9,7198.4,7343,7434.8,7554.6,7692.5,7810.7,7888.9,8048.3,8232.4,8406.6,8533.4,8656.5,8789.2,8865.5,9014.2,9193.8,9341.1,9526.4,9687,9807.4,9928.7,10071,10189,10269,10425,10597,10734,10871,10944,11067,11244,11387,11467,11579,11658,11829,11923,12043,12183,12308,12388,12545,12724,12885,13023,13141,13220,13385,13560,13714,13856,13934
1681.8,1859.9,2034.7,2265.2,2450.6,2624.4,2795.8,2924.3,3090.4,3230.1,3307.1,3378.7,3568.1,3735.2,3870.8,4019.4,4131.1,4205.5,4358.7,4521.9,4667.4,4818.9,4979.7,5073.2,5145.7,5308.6,5469.6,5621.5,5733.6,5812.8,5969.8,6137.9,6317.4,6438.4,6523.7,6603.6,6747.4,6921.2,7065.8,7185,7257.6,7400.6,7495.8,7664.1,7793.5,7874.8,7944.8,8130.1,8296.8,8449.9,8591.9,8758,8854.2,8923.4,9102.2,9267.7,9413.6,9580.6,9736.5,9871.3,10042,10181,10257,10325,10502,10677,10806,10928,11001,11148,11305,11431,11510,11643,11715,11886,11990,12156,12287,12372,12445,12632,12799,12994,13126,13205,13275,13454,13632,13788,13916,13992
