r,r,r,i,r,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,e,e,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,r,r,r,l,l,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,n,n,a,b,i,r,e,e,a,b
1072,1246.1,1401.1,1578,1693.3,1863.4,1995.4,2129.9,2242.8,2314.8,2450.3,2622.1,2766.3,2895.8,2965.9,3098.4,3272.4,3332.9,3459,3529.3,3678.9,3768.2,3884.5,4025,4145.5,4220.6,4354.1,4528,4676.8,4812,4936.9,5009.6,5149.9,5321.7,5457,5587.3,5710.8,5787.4,5931.2,6021.1,6137.5,6279.6,6403.9,6476.8,6625,6794.4,6934.4,7066.2,7200.8,7271.8,7422.8,7520,7632.4,7768.1,7897.6,7970.9,8103.6,8280.5,8442.8,8583.9,8713.3,8850.9,8980.3,9052.7,9195.8,9367.2,9501.5,9625,9704.3,9841.4,10016,10083,10206,10281,10446,10541,10656,10794,10917,10991,11135,11309,11472,11609,11735,11809,11974,12164,12353,12508,12602,12720,12860,12987,13064,13192,13374,13515,13647,13781,13855,14023,14114,14235,14373,14499,14574,14739,14928,15002,15135,15214,15426,15519,15638,15776,15904,15978,16164,16345,16514,16729,16922,17133,17316,17471,17647,17783,17910,18054,18190,18264,18434,18610,18746,18873,18953,19106,19295,19480,19620,19743,19822,19995,20191,20329,20464,20544,20755,20955,21090,21231,21310,21476,21570,21689,21831,21957,22033
1128.5,1301.1,1456.1,1599.7,1752.3,1917.4,2091.9,2215.9,2293.5,2361.6,2520.5,2689.3,2832.1,2943.4,3011.7,3166.5,3300.5,3373.7,3506.9,3577.4,3716.5,3821,3993,4126.2,4200.6,4267,4426.1,4599.7,4782.7,4912.9,4988.7,5055.7,5216.2,5387.6,5529.6,5658.1,5769.7,5842,5979.3,6076.1,6242.7,6375.6,6457.1,6525.6,6694.2,6870.1,7009.2,7139,7253.2,7322.4,7469.1,7573.6,7738,7873.5,7948.8,8015.8,8174.2,8338.1,8490.2,8644.1,8818.5,8955.6,9032.1,9100.1,9263.5,9436.9,9566.8,9682.2,9750.9,9912.1,10055,10122,10263,10332,10496,10598,10762,10894,10974,11048,11206,11366,11579,11717,11791,11857,12048,12222,12401,12552,12658,12823,12961,13043,13118,13269,13445,13590,13723,13837,13904,14080,14171,14343,14473,14554,14622,14814,14977,15050,15198,15269,15473,15575,15748,15879,15957,16026,16243,16426,16599,16795,16984,17208,17376,17537,17690,17843,18020,18159,18246,18313,18506,18686,18819,18934,19002,19178,19360,19591,19723,19800,19869,20069,20263,20405,20523,20601,20834,21031,21162,21289,21358,21528,21633,21800,21931,22013,22086
