r,r,r,l,r,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,l,l,r,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,i,l,i,r,e,a,b,r,l,i,i,i,r,e,e,a,b
1130.4,1303,1488,1661.2,1812.2,1998.1,2125.3,2196.2,2375.5,2553.8,2694.3,2826.7,2897,3077.7,3175.2,3299.7,3425.2,3554.1,3623.9,3786.1,3969.9,4111.5,4247.6,4318.4,4453.6,4643.6,4811.6,4946.6,5069.8,5145.2,5301.3,5480,5638.8,5764.3,6031,6197.2,6364.2,6502.4,6623.2,6760.2,6880.8,6957.9,7100.4,7271.4,7419.5,7549.5,7679.8,7751.8,7903,8075.3,8217.2,8354.3,8479.8,8554.1,8694.9,8863.1,8995.6,9133.9,9205.9,9380.5,9565.2,9699.7,9836.4,9974.7,10047,10329,10488,10658,10833,10956,11091,11162,11319,11500,11680,11851,12014,12137,12270,12406,12532,12605
1184.1,1358.7,1548.7,1724,1868.7,2092.1,2173.1,2248.3,2437.8,2621.7,2761.1,2876.4,2947.3,3118.1,3225.3,3392,3519.3,3604.4,3671.4,3856.1,4040.3,4183.2,4296.3,4365.2,4521.5,4703.1,4906.4,5042.2,5123.3,5193.3,5371.2,5535.8,5701.1,5850.6,6070,6255.8,6407.9,6554.4,6721.6,6853.5,6936.9,7008.2,7170.4,7339.5,7489.8,7618.3,7733.9,7805.1,7984.1,8128.8,8320.6,8443.8,8537.2,8609.3,8762.6,8934.8,9068.2,9187.7,9259.2,9462.6,9637.6,9766.3,9904.2,10029,10097,10376,10555,10707,10889,11053,11141,11216,11391,11558,11730,11891,12052,12198,12370,12506,12584,12659
