r,r,r,l,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,r,n,n,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,l,i,n
1081.4,1280.6,1465,1639.9,1797.3,1992.2,2117.3,2237.9,2306.5,2458.5,2631.4,2765.4,2894.3,2962.6,3095.1,3269.9,3331.9,3453.3,3525.9,3659.2,3840.6,3987.5,4120.5,4188.9,4332,4510.1,4658.5,4791.2,4918.6,4987.9,5130.6,5296.4,5431.2,5562.9,5684.3,5757,5892.2,6065.5,6200.4,6335.2,6405.7,6531.1,6703.8,6769.6,6892.1,6960.4,7111.9,7203.6,7314.5,7457.3,7573.1,7646.1,7793.8,7961.6,8099.5,8240,8369.1,8439.2,8581,8757.7,8927.7,9071.6,9191.6,9328.2,9453,9524.8,9671.2,9844.2,10001,10130,10256,10328,10455,10630,10806,10967,11084,11216,11288,11455,11627,11777,11906,12037,12109,12275,12369,12483,12630,12746,12819,12961,13144,13288,13423,13495,13634,13806,13984,14167,14338,14474
1129.2,1330.5,1513.2,1699,1844.8,2082.7,2214.5,2288.8,2355.8,2517.3,2700.7,2833.1,2940.8,3012.9,3158.7,3297.2,3368.2,3503.9,3568.9,3724.2,3909.3,4058.4,4168.3,4237.3,4396.4,4581.5,4729.2,4865.4,4970.4,5038.8,5213.8,5317.9,5535.9,5660,5734.9,5806.6,5956.6,6131.1,6264,6379.3,6451.7,6596,6729.1,6805.6,6940.9,7009.8,7138.5,7247.8,7417.2,7549,7624.1,7694,7853.9,8023.8,8170.5,8310.9,8416.6,8488.2,8649,8811.8,8959.9,9128.6,9295.2,9425.7,9509,9571,9736.2,9915.2,10072,10198,10305,10377,10518,10659,10842,11017,11195,11262,11334,11493,11699,11846,11976,12090,12159,12318,12419,12586,12720,12799,12864,13023,13213,13357,13473,13547,13697,13862,14027,14226,14382,14503
