r,l,l,r,r,l,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,n,e,e,a,b,r,n,n,a,b,r,v,x,a,b,l,r,e,e,a,b,r,n,n,a,b,r,e,e,e,a,b,r,n,l,l,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,l,r,e,e,a,b
1966.4,2174.1,2329,2510.4,2707.6,2886.6,3026,3175.8,3311.4,3431.7,3500.3,3655.6,3824.3,3975.1,4106.5,4225.6,4295.1,4449.8,4631.2,4771,4907.6,4974.9,5127.3,5313.2,5469.3,5605.7,5727.7,5797.4,5949.1,6136.3,6277.2,6408.1,6477.3,6633,6808,6875.1,7004.2,7073.6,7242.4,7335.2,7447,7582.5,7705.1,7776.2,7922.8,8093.9,8233,8365.6,8435.7,8590.9,8776.7,8908.3,9039.2,9163.2,9233.4,9415.6,9608,9781.7,9961.5,10092,10213,10346,10469,10542,10706,10883,11046,11181,11306,11381,11546,11715,11876,12011,12081,12267,12354,12466,12605,12730,12801,12958,13125,13268,13400,13470,13614,13789,13961,14100,14223,14294,14453,14622,14785,14922,15053,15124,15294,15386,15501,15636,15763,15837
2009.6,2225.7,2383.2,2564.8,2754.2,2945.4,3076,3276.1,3403.7,3483.3,3550.5,3705.9,3887.1,4070.6,4195.5,4271,4347.9,4509.4,4695.7,4835.9,4955.5,5026.2,5180,5376.8,5575.2,5694.8,5775.3,5848.3,6005.1,6202.3,6343.6,6452.2,6527.7,6684.9,6842.5,6914.5,7052.2,7121.8,7286.2,7381.2,7544.1,7678.4,7756.2,7827.6,7967.3,8161.8,8301.6,8414.3,8484.2,8649.8,8877.3,8999.3,9136.6,9216.7,9282.8,9484.8,9674.6,9841.3,9993.2,10140,10314,10442,10523,10588,10767,10951,11146,11276,11361,11431,11611,11787,11947,12060,12133,12305,12401,12577,12695,12784,12849,13022,13196,13331,13449,13520,13679,13843,14065,14202,14277,14341,14521,14691,14850,14995,15105,15174,15337,15434,15611,15734,15816,15884
