i,r,r,r,r,l,r,e,e,a,b,r,n,n,n,a,b,i,i,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,e,e,a,b
1394.8,1580.8,1758.1,1956.6,2121.6,2298.3,2419,2606.7,2742.9,2868.2,2941.1,3093.9,3274.2,3415.4,3551.6,3679.7,3750.1,3919,4013.2,4131.2,4272.7,4399.4,4471.8,4617.6,4784.7,4851.2,4975.2,5046.7,5233.4,5328.8,5447.5,5587.8,5714.8,5788.5,5943.6,6112.6,6261.8,6399.9,6523,6600.7,6744.6,6923.9,7087.6,7226.1,7347.1,7486.6,7612.1,7686.7,7859.1,8039.3,8174.4,8305.5,8377.9,8527.6,8708.3,8864.3,8992.8,9115.2,9256.8,9381.4,9457.4,9646.2,9822.4,9965.3,10102,10236,10309,10452,10626,10796,10930,11054,11196,11320,11398,11576,11763,11900,12046,12118,12270,12454,12631,12764,12887,13027,13153,13228,13396,13602,13769,13903,14033,14108
1421,1635.9,1820.6,2017.6,2177.4,2360.7,2474.2,2707.5,2840.7,2921.4,2993.7,3168.1,3347.1,3484.7,3619.3,3732.9,3802.3,3966.3,4069.8,4233.8,4365.3,4455.8,4523,4680.7,4820.3,4891,5026.8,5100.5,5277.2,5389.8,5551.1,5690.1,5771.4,5838.3,6012,6183.2,6367.7,6499,6583.4,6649.7,6801.1,6981,7123.3,7275.4,7450.8,7586.6,7668.3,7733.5,7929.5,8112.5,8247.1,8358.5,8432.2,8609.2,8764.4,8901.5,9042,9221.8,9354,9441.6,9509.6,9714.2,9895.2,10040,10176,10289,10365,10523,10688,10835,10989,11156,11298,11378,11450,11656,11837,11970,12098,12171,12338,12512,12683,12817,12980,13129,13209,13277,13469,13676,13868,13999,14087,14162
