r,l,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,r,e,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,i,i,l,i,r,e,e,a,b,r,l,l,i,i
1043,1223.8,1398.5,1561.6,1737.1,1870.1,1985.7,2127.3,2252,2324.5,2472,2645,2785.2,2920.9,3048.6,3118.8,3280.1,3374.2,3495.3,3625.3,3759.1,3882.7,3955.4,4159.9,4337.3,4483.6,4613.4,4685.4,4841.2,5013.9,5185.7,5319.2,5445.8,5517.9,5674.6,5839.5,5973.5,6104.7,6176.4,6465.6,6632.7,6799.2,6978.3,7109.7,7226.5,7364.1,7492.8,7566.2,7801.4,7983.5,8169.5,8355.6,8531.3
1109,1277.8,1438.3,1623.9,1774.9,1921.3,2094.7,2231.6,2301.7,2370.6,2532.3,2718.6,2854.2,2991.2,3101.8,3171.2,3328.9,3425.9,3588.6,3729,3858.3,3929.2,3998.8,4227.8,4408.8,4552.9,4662.5,4734.4,4908.4,5068.1,5291.2,5412,5500.4,5561.6,5737,5910.5,6044.1,6157.8,6226.1,6511.1,6671,6863.4,7018.2,7163.2,7330.2,7470.6,7544.8,7613.7,7868.2,8032.6,8228.5,8393.8,8575
